Date,Temp,Humidity
10.11.2020,11.57,94.52
09.11.2020,13.58,94.52
08.11.2020,10.9,93.85
07.11.2020,7.62,93.53
06.11.2020,6.73,88.52
05.11.2020,5.57,90.53
04.11.2020,5.25,89.44
03.11.2020,6.96,84.42
02.11.2020,14.5,73.1
01.11.2020,14.42,82.27
31.10.2020,13.34,86.36
30.10.2020,15.38,86.96
29.10.2020,10.81,88.48
28.10.2020,9.19,81.81
27.10.2020,9.0,89.46
26.10.2020,8.77,88.13
25.10.2020,10.21,83.94
24.10.2020,11.77,86.73
23.10.2020,11.6,89.36
22.10.2020,12.21,84.15
21.10.2020,14.04,95.91
20.10.2020,14.15,85.65
19.10.2020,11.35,81.35
18.10.2020,10.02,88.35
17.10.2020,10.15,88.57
16.10.2020,11.0,82.64
15.10.2020,10.68,81.44
14.10.2020,11.49,82.7
13.10.2020,10.15,92.88
12.10.2020,9.87,90.22
11.10.2020,9.87,92.34
10.10.2020,8.4,88.06
09.10.2020,8.59,87.87
08.10.2020,12.21,92.21
07.10.2020,12.15,80.06
06.10.2020,11.94,88.96
05.10.2020,12.34,87.26
04.10.2020,10.62,88.83
03.10.2020,13.98,88.25
02.10.2020,12.92,85.02
01.10.2020,11.27,87.48
30.09.2020,14.0,85.02
29.09.2020,12.56,89.97
28.09.2020,12.63,83.93
27.09.2020,12.23,86.02
26.09.2020,11.06,82.7
25.09.2020,9.77,85.69
24.09.2020,11.54,79.19
23.09.2020,15.32,86.55
22.09.2020,18.29,70.56
21.09.2020,14.84,80.0
20.09.2020,15.83,83.52
19.09.2020,16.22,76.11
18.09.2020,14.98,71.96
17.09.2020,14.96,71.72
16.09.2020,16.9,81.77
15.09.2020,18.19,78.08
14.09.2020,18.06,74.04
13.09.2020,18.33,70.08
12.09.2020,15.79,68.74
11.09.2020,13.77,70.68
10.09.2020,13.54,68.78
09.09.2020,17.56,74.6
08.09.2020,19.56,80.44
07.09.2020,14.85,83.4
06.09.2020,14.0,78.02
05.09.2020,13.76,71.58
04.09.2020,15.12,75.52
03.09.2020,17.92,84.92
02.09.2020,14.52,73.9
01.09.2020,12.19,72.23
31.08.2020,12.62,78.88
30.08.2020,14.24,76.26
29.08.2020,14.38,84.96
28.08.2020,14.62,84.81
27.08.2020,15.57,80.89
26.08.2020,16.29,77.16
25.08.2020,17.52,80.83
24.08.2020,16.15,72.71
23.08.2020,17.72,71.91
22.08.2020,18.94,63.62
21.08.2020,21.28,63.34
20.08.2020,21.68,69.6
19.08.2020,19.1,83.35
18.08.2020,19.31,72.5
17.08.2020,18.67,81.52
16.08.2020,19.36,84.43
15.08.2020,18.43,84.6
14.08.2020,19.46,81.37
13.08.2020,19.46,85.33
12.08.2020,23.56,73.27
11.08.2020,23.6,74.33
10.08.2020,22.42,72.67
09.08.2020,19.4,81.64
08.08.2020,20.6,71.21
07.08.2020,25.42,52.6
06.08.2020,21.71,70.42
05.08.2020,21.85,54.1
04.08.2020,17.9,58.23
03.08.2020,15.81,68.48
02.08.2020,17.5,65.65
01.08.2020,21.52,62.19
31.07.2020,24.55,51.06
30.07.2020,20.29,59.33
29.07.2020,16.35,63.0
28.07.2020,15.6,63.4
27.07.2020,17.58,78.15
26.07.2020,17.75,67.52
25.07.2020,18.42,78.75
24.07.2020,18.48,73.6
