Date,Temp,Humidity
19.11.2020,8.38,72.74
18.11.2020,11.36,85.7
17.11.2020,12.85,95.27
16.11.2020,11.17,85.54
15.11.2020,10.52,84.3
14.11.2020,11.96,88.25
13.11.2020,10.7,75.23
12.11.2020,11.12,82.5
11.11.2020,12.7,84.03
10.11.2020,11.94,90.68
09.11.2020,13.26,83.03
08.11.2020,12.29,90.58
07.11.2020,9.25,82.42
06.11.2020,8.42,80.61
05.11.2020,9.19,84.44
04.11.2020,9.08,81.39
03.11.2020,8.22,76.11
02.11.2020,10.34,78.62
01.11.2020,12.71,89.62
31.10.2020,12.62,79.54
30.10.2020,11.48,87.12
29.10.2020,12.76,91.72
28.10.2020,10.82,68.0
27.10.2020,11.09,80.77
26.10.2020,11.27,77.12
25.10.2020,11.21,72.46
24.10.2020,11.42,83.08
23.10.2020,11.28,75.44
22.10.2020,10.53,69.21
21.10.2020,12.88,87.15
20.10.2020,14.25,83.81
19.10.2020,12.66,78.49
18.10.2020,10.25,85.62
17.10.2020,9.88,81.88
16.10.2020,10.06,77.91
15.10.2020,10.18,78.47
14.10.2020,11.79,83.24
13.10.2020,11.15,80.21
12.10.2020,12.0,83.17
11.10.2020,11.79,76.38
10.10.2020,11.83,78.71
09.10.2020,10.82,71.21
08.10.2020,12.09,80.59
07.10.2020,12.11,78.94
06.10.2020,12.9,83.83
05.10.2020,13.09,87.97
04.10.2020,12.12,87.75
03.10.2020,11.25,88.25
02.10.2020,12.35,76.18
01.10.2020,10.89,73.42
30.09.2020,13.49,89.11
29.09.2020,12.32,80.76
28.09.2020,13.49,93.77
27.09.2020,9.67,76.83
26.09.2020,10.67,64.62
25.09.2020,11.71,67.0
24.09.2020,9.77,82.2
23.09.2020,11.82,74.56
22.09.2020,14.94,91.72
21.09.2020,14.09,88.15
20.09.2020,13.71,78.67
19.09.2020,14.25,74.58
18.09.2020,13.91,73.51
17.09.2020,16.46,77.66
16.09.2020,16.53,89.44
15.09.2020,17.71,82.15
14.09.2020,19.29,70.34
13.09.2020,16.12,89.38
12.09.2020,14.88,80.0
11.09.2020,15.29,82.26
10.09.2020,14.0,71.3
09.09.2020,15.44,76.75
08.09.2020,16.32,94.88
07.09.2020,15.43,92.2
06.09.2020,14.67,85.04
05.09.2020,14.12,77.62
04.09.2020,14.92,75.22
03.09.2020,16.24,84.85
02.09.2020,15.29,93.53
01.09.2020,15.11,79.62
31.08.2020,12.79,75.08
30.08.2020,12.75,68.75
29.08.2020,13.21,70.79
28.08.2020,13.68,85.29
27.08.2020,14.31,90.33
26.08.2020,16.0,83.83
25.08.2020,15.27,93.54
24.08.2020,15.17,78.08
23.08.2020,15.71,86.79
22.08.2020,15.75,88.79
21.08.2020,16.52,85.8
20.08.2020,17.88,78.03
19.08.2020,18.18,89.63
18.08.2020,17.0,92.15
17.08.2020,16.31,97.72
16.08.2020,17.74,87.39
15.08.2020,19.38,80.67
14.08.2020,19.27,84.73
13.08.2020,22.23,76.86
12.08.2020,20.0,85.26
11.08.2020,18.09,92.82
10.08.2020,17.78,88.61
09.08.2020,17.58,81.12
08.08.2020,17.12,76.71
07.08.2020,16.58,96.32
06.08.2020,16.49,90.54
05.08.2020,16.32,95.11
04.08.2020,14.94,91.87
03.08.2020,14.68,75.21
02.08.2020,14.62,82.08
01.08.2020,15.33,87.04
31.07.2020,18.6,75.83
30.07.2020,17.31,79.88
29.07.2020,14.54,74.74
28.07.2020,14.83,71.94
27.07.2020,15.81,88.56
26.07.2020,15.0,88.83
25.07.2020,15.25,93.17
24.07.2020,15.71,89.68
23.07.2020,15.26,95.54
22.07.2020,14.66,92.63
21.07.2020,14.97,79.36
20.07.2020,13.88,69.75
19.07.2020,13.75,73.42
18.07.2020,14.33,89.46
17.07.2020,15.29,90.54
