Date,Temp,Humidity
19.11.2020,6.83,78.67
18.11.2020,11.01,81.5
17.11.2020,12.84,85.25
16.11.2020,10.89,82.21
15.11.2020,9.2,81.96
14.11.2020,11.29,88.92
13.11.2020,9.5,82.33
12.11.2020,10.14,81.42
11.11.2020,11.32,88.33
10.11.2020,11.03,92.38
09.11.2020,12.29,96.04
08.11.2020,9.94,98.5
07.11.2020,7.3,91.5
06.11.2020,3.92,89.29
05.11.2020,6.0,87.67
04.11.2020,4.86,87.46
03.11.2020,6.02,82.25
02.11.2020,11.9,74.83
01.11.2020,13.56,83.88
31.10.2020,12.49,82.92
30.10.2020,14.83,83.75
29.10.2020,12.37,84.71
28.10.2020,8.31,82.21
27.10.2020,9.17,85.96
26.10.2020,8.63,87.92
25.10.2020,7.36,91.96
24.10.2020,10.63,88.58
23.10.2020,8.87,86.29
22.10.2020,9.94,80.62
21.10.2020,13.2,96.38
20.10.2020,14.07,87.29
19.10.2020,9.52,83.78
18.10.2020,8.52,89.21
17.10.2020,9.32,83.04
16.10.2020,9.02,85.92
15.10.2020,9.12,77.5
14.10.2020,10.63,83.17
13.10.2020,8.81,86.88
12.10.2020,8.72,93.21
11.10.2020,9.78,81.33
10.10.2020,9.06,85.46
09.10.2020,7.7,87.17
08.10.2020,12.78,84.83
07.10.2020,11.7,81.54
06.10.2020,11.88,85.83
05.10.2020,11.6,87.17
04.10.2020,9.98,90.54
03.10.2020,11.15,90.29
02.10.2020,10.65,90.42
01.10.2020,10.21,81.79
30.09.2020,11.67,92.46
29.09.2020,11.88,83.92
28.09.2020,10.6,91.75
27.09.2020,9.48,71.33
26.09.2020,9.12,69.88
25.09.2020,10.03,69.12
24.09.2020,8.97,87.71
23.09.2020,12.55,87.62
22.09.2020,14.66,87.33
21.09.2020,14.74,84.33
20.09.2020,15.35,74.92
19.09.2020,15.29,73.75
18.09.2020,14.26,70.25
17.09.2020,15.23,71.21
16.09.2020,16.94,83.21
15.09.2020,17.58,80.71
14.09.2020,15.93,82.54
13.09.2020,16.73,79.67
12.09.2020,15.05,74.83
11.09.2020,13.59,78.71
10.09.2020,11.86,80.17
09.09.2020,16.4,76.08
08.09.2020,18.62,83.33
07.09.2020,14.32,88.25
06.09.2020,13.68,86.46
05.09.2020,13.33,76.12
04.09.2020,13.18,81.25
03.09.2020,16.69,82.29
02.09.2020,11.52,94.0
01.09.2020,13.15,79.88
31.08.2020,11.22,79.25
30.08.2020,11.19,71.62
29.08.2020,12.93,67.54
28.08.2020,13.02,88.71
27.08.2020,12.59,95.08
26.08.2020,16.06,74.0
25.08.2020,16.8,83.96
24.08.2020,16.51,79.92
23.08.2020,16.15,77.62
22.08.2020,16.4,80.12
21.08.2020,17.28,80.25
20.08.2020,17.8,73.17
19.08.2020,17.84,95.92
18.08.2020,18.64,81.83
17.08.2020,17.29,91.79
16.08.2020,17.71,91.83
15.08.2020,17.15,86.92
14.08.2020,19.0,85.25
13.08.2020,20.04,89.04
12.08.2020,23.52,77.21
11.08.2020,23.69,71.38
10.08.2020,21.13,76.54
09.08.2020,18.25,78.42
08.08.2020,21.87,70.79
07.08.2020,22.06,68.96
06.08.2020,18.12,87.0
05.08.2020,18.7,80.17
04.08.2020,14.77,77.12
03.08.2020,14.92,67.29
02.08.2020,16.21,67.29
01.08.2020,17.29,72.92
31.07.2020,20.44,68.17
30.07.2020,19.44,62.29
29.07.2020,16.19,68.88
28.07.2020,14.45,68.62
27.07.2020,16.21,85.29
26.07.2020,16.41,74.83
25.07.2020,17.58,80.04
24.07.2020,18.46,75.88
23.07.2020,16.12,77.67
22.07.2020,16.15,67.21
21.07.2020,14.13,68.54
20.07.2020,13.98,65.79
19.07.2020,14.95,69.75
18.07.2020,17.37,76.71
17.07.2020,18.39,75.0
16.07.2020,18.14,75.5
15.07.2020,15.04,81.92
14.07.2020,15.03,79.75
13.07.2020,16.07,80.54
12.07.2020,14.72,68.71
11.07.2020,14.13,68.21
10.07.2020,13.37,70.58
09.07.2020,15.69,89.71
08.07.2020,16.34,90.33
07.07.2020,14.22,80.21
06.07.2020,14.7,66.92
05.07.2020,16.21,63.58
04.07.2020,18.0,78.21
03.07.2020,14.76,80.25
02.07.2020,15.47,75.21
01.07.2020,15.88,78.0
30.06.2020,15.43,75.08
29.06.2020,13.27,72.29
28.06.2020,14.52,68.12
27.06.2020,15.72,80.92
26.06.2020,21.05,70.83
25.06.2020,23.17,65.29
24.06.2020,21.46,68.88
23.06.2020,18.94,71.88
22.06.2020,15.81,74.0
21.06.2020,14.95,74.21
20.06.2020,15.64,78.79
19.06.2020,13.86,86.96
18.06.2020,13.99,94.46
17.06.2020,15.4,85.92
16.06.2020,16.15,86.0
15.06.2020,17.66,68.5
14.06.2020,16.05,78.25
13.06.2020,16.23,75.75
12.06.2020,15.15,85.96
