Date,Temp,Humidity
10.11.2020,11.69,88.48
09.11.2020,10.85,93.11
08.11.2020,9.09,95.17
07.11.2020,6.43,89.17
06.11.2020,6.81,93.17
05.11.2020,9.46,84.48
04.11.2020,6.91,81.66
03.11.2020,5.67,79.29
02.11.2020,8.16,84.51
01.11.2020,10.85,75.98
31.10.2020,10.11,80.22
30.10.2020,10.3,78.81
29.10.2020,9.85,83.75
28.10.2020,8.02,74.27
27.10.2020,7.4,85.06
26.10.2020,8.07,83.64
25.10.2020,8.26,74.15
24.10.2020,8.04,83.77
23.10.2020,7.4,80.09
22.10.2020,9.63,84.63
21.10.2020,12.45,88.98
20.10.2020,12.21,81.0
19.10.2020,10.43,80.07
18.10.2020,7.94,86.09
17.10.2020,8.71,92.31
16.10.2020,8.89,83.62
15.10.2020,7.33,85.43
14.10.2020,9.83,91.13
13.10.2020,8.21,91.36
12.10.2020,8.17,90.54
11.10.2020,8.15,79.02
10.10.2020,8.78,81.15
09.10.2020,7.98,75.17
08.10.2020,9.02,81.02
07.10.2020,10.68,77.94
06.10.2020,11.42,81.07
05.10.2020,11.19,88.77
04.10.2020,12.2,90.74
03.10.2020,11.96,94.0
02.10.2020,8.16,89.66
01.10.2020,9.51,78.45
30.09.2020,10.77,85.83
29.09.2020,10.09,80.26
28.09.2020,9.25,86.17
27.09.2020,8.21,75.09
26.09.2020,8.87,70.0
25.09.2020,8.78,74.67
24.09.2020,6.76,92.28
23.09.2020,9.96,90.98
22.09.2020,14.9,76.98
21.09.2020,11.52,81.5
20.09.2020,12.52,88.31
19.09.2020,12.53,80.3
18.09.2020,9.92,83.42
17.09.2020,12.11,76.33
16.09.2020,12.57,81.67
15.09.2020,17.11,79.0
14.09.2020,15.7,75.96
13.09.2020,17.04,70.5
12.09.2020,13.65,67.54
11.09.2020,13.79,72.34
10.09.2020,10.57,73.89
09.09.2020,14.27,70.98
08.09.2020,18.54,77.35
07.09.2020,14.94,83.56
06.09.2020,11.85,81.36
05.09.2020,12.36,73.8
04.09.2020,12.96,73.17
03.09.2020,15.89,75.16
02.09.2020,13.62,81.73
01.09.2020,12.23,73.33
31.08.2020,10.32,72.51
30.08.2020,10.66,72.11
29.08.2020,10.4,75.3
28.08.2020,12.4,81.81
27.08.2020,11.98,93.43
26.08.2020,12.8,86.17
25.08.2020,13.8,94.0
24.08.2020,12.4,85.04
23.08.2020,13.45,86.81
22.08.2020,15.69,73.38
21.08.2020,16.85,72.33
20.08.2020,18.91,63.38
19.08.2020,17.67,82.44
18.08.2020,16.44,84.75
17.08.2020,15.92,87.4
16.08.2020,14.25,83.86
15.08.2020,14.47,89.45
14.08.2020,14.38,92.93
13.08.2020,14.81,93.25
12.08.2020,18.33,84.2
11.08.2020,18.26,81.66
10.08.2020,16.19,81.77
09.08.2020,14.72,82.66
08.08.2020,15.15,75.93
07.08.2020,20.19,72.69
06.08.2020,19.02,72.75
05.08.2020,18.94,75.29
04.08.2020,13.24,82.6
03.08.2020,13.68,67.34
02.08.2020,14.79,70.62
01.08.2020,17.06,72.27
31.07.2020,19.11,70.66
30.07.2020,14.21,82.51
29.07.2020,13.25,66.08
28.07.2020,13.68,66.34
27.07.2020,14.3,82.87
26.07.2020,15.83,69.12
25.07.2020,17.1,74.69
24.07.2020,16.13,73.19
23.07.2020,15.75,85.44
22.07.2020,14.4,76.62
21.07.2020,13.04,68.72
20.07.2020,12.96,69.67
19.07.2020,13.38,64.51
18.07.2020,16.06,74.44
17.07.2020,17.38,73.98
16.07.2020,17.04,75.28
15.07.2020,14.5,79.88
14.07.2020,13.67,73.22
13.07.2020,15.83,73.69
12.07.2020,14.48,65.19
11.07.2020,13.07,70.89
10.07.2020,11.88,84.29
09.07.2020,12.65,77.38
08.07.2020,12.33,79.6
07.07.2020,12.36,73.05
06.07.2020,13.67,65.79
05.07.2020,14.1,70.23
04.07.2020,15.21,85.66
03.07.2020,14.26,81.96
02.07.2020,12.09,76.79
01.07.2020,12.17,88.75
30.06.2020,14.35,73.5
29.06.2020,14.02,72.5
28.06.2020,13.34,70.94
27.06.2020,15.06,81.65
26.06.2020,18.21,78.15
25.06.2020,18.44,71.15
24.06.2020,20.43,67.59
23.06.2020,19.11,65.65
22.06.2020,15.85,66.19
21.06.2020,15.17,72.04
20.06.2020,16.74,67.13
19.06.2020,14.6,86.42
18.06.2020,12.23,89.38
17.06.2020,13.77,89.46
16.06.2020,14.28,89.87
15.06.2020,14.35,90.81
14.06.2020,13.35,93.65
13.06.2020,12.56,96.25
12.06.2020,11.0,92.0
11.06.2020,10.77,83.89
10.06.2020,10.67,85.52
09.06.2020,9.94,77.31
08.06.2020,8.42,71.9
07.06.2020,9.44,81.83
06.06.2020,9.92,74.52
05.06.2020,9.04,70.9
04.06.2020,8.87,79.45
03.06.2020,9.77,85.08
02.06.2020,14.74,66.09
01.06.2020,13.92,72.71
31.05.2020,13.88,68.48
30.05.2020,13.83,59.62
29.05.2020,17.77,54.79
28.05.2020,15.75,59.73
27.05.2020,10.94,69.17
26.05.2020,14.35,68.31
25.05.2020,14.85,58.13
24.05.2020,13.75,71.58
23.05.2020,11.6,62.46
22.05.2020,13.79,65.28
21.05.2020,15.1,56.23
20.05.2020,16.18,69.36
19.05.2020,14.46,78.48
18.05.2020,13.27,73.31
17.05.2020,12.33,71.48
16.05.2020,10.69,64.83
15.05.2020,10.44,59.06
14.05.2020,8.83,58.57
13.05.2020,4.65,65.98
12.05.2020,7.42,61.73
