Date,Temp,Humidity
20.12.2020,6.9,86.23
19.12.2020,9.43,81.83
18.12.2020,12.5,90.62
17.12.2020,8.21,88.27
16.12.2020,8.42,87.0
15.12.2020,7.65,84.17
14.12.2020,9.25,83.79
13.12.2020,7.55,92.17
12.12.2020,7.79,90.87
11.12.2020,8.71,96.08
10.12.2020,7.38,87.46
09.12.2020,6.71,82.12
08.12.2020,6.4,92.91
07.12.2020,3.83,92.74
06.12.2020,4.85,88.79
05.12.2020,4.4,88.77
04.12.2020,5.19,85.62
03.12.2020,4.81,90.52
02.12.2020,7.67,85.42
01.12.2020,6.38,83.83
30.11.2020,9.06,87.79
29.11.2020,8.88,95.48
28.11.2020,6.11,94.09
27.11.2020,4.98,92.98
26.11.2020,6.52,91.4
25.11.2020,7.94,88.12
24.11.2020,11.77,81.02
23.11.2020,7.35,86.88
22.11.2020,7.96,77.43
21.11.2020,11.42,81.42
20.11.2020,9.46,86.6
19.11.2020,7.98,78.21
18.11.2020,11.96,77.85
17.11.2020,14.31,81.27
16.11.2020,11.31,83.25
15.11.2020,10.45,81.28
14.11.2020,11.56,87.67
13.11.2020,9.69,82.29
12.11.2020,10.7,81.81
11.11.2020,11.75,85.52
10.11.2020,12.46,87.65
09.11.2020,12.56,95.62
08.11.2020,10.79,95.12
07.11.2020,8.35,89.5
06.11.2020,8.62,88.7
05.11.2020,9.33,89.48
04.11.2020,7.91,89.98
03.11.2020,7.58,81.06
02.11.2020,11.44,78.15
01.11.2020,13.23,81.6
31.10.2020,13.04,80.0
30.10.2020,12.65,88.69
29.10.2020,12.42,82.9
28.10.2020,9.25,79.23
27.10.2020,9.25,85.44
26.10.2020,10.15,83.65
25.10.2020,9.13,82.72
24.10.2020,10.31,88.0
23.10.2020,9.0,82.19
22.10.2020,10.48,76.6
21.10.2020,13.79,88.96
20.10.2020,14.31,80.15
19.10.2020,11.04,81.38
18.10.2020,10.67,88.25
17.10.2020,9.64,86.11
16.10.2020,10.21,80.04
15.10.2020,9.83,79.56
14.10.2020,11.49,82.23
13.10.2020,10.44,84.54
12.10.2020,10.66,87.6
11.10.2020,10.98,78.56
10.10.2020,11.53,83.47
09.10.2020,10.19,78.98
08.10.2020,11.83,85.38
07.10.2020,12.19,82.44
06.10.2020,12.17,89.5
