Date,Temp,Humidity
19.11.2020,8.53,73.12
18.11.2020,11.5,83.17
17.11.2020,12.52,94.5
16.11.2020,11.46,85.04
15.11.2020,10.58,80.33
14.11.2020,12.15,90.92
13.11.2020,10.7,78.88
12.11.2020,11.2,85.12
11.11.2020,12.4,90.92
10.11.2020,11.61,91.42
09.11.2020,12.79,96.62
08.11.2020,12.47,96.67
07.11.2020,11.05,89.92
06.11.2020,8.13,79.88
05.11.2020,8.08,81.5
04.11.2020,8.34,84.17
03.11.2020,8.11,80.25
02.11.2020,11.51,76.96
01.11.2020,13.25,94.29
31.10.2020,12.47,85.17
30.10.2020,13.1,96.54
29.10.2020,13.07,92.96
28.10.2020,10.49,76.62
27.10.2020,11.37,82.62
26.10.2020,11.1,79.75
25.10.2020,10.55,79.58
24.10.2020,11.62,87.17
23.10.2020,11.18,75.21
22.10.2020,9.32,78.71
21.10.2020,12.78,95.96
20.10.2020,14.25,89.71
19.10.2020,12.85,81.48
18.10.2020,11.59,81.5
17.10.2020,10.18,79.5
16.10.2020,8.7,80.12
15.10.2020,9.43,75.54
14.10.2020,11.46,76.42
13.10.2020,10.37,84.46
12.10.2020,11.49,88.17
11.10.2020,11.17,82.21
10.10.2020,10.85,80.96
09.10.2020,10.46,79.38
08.10.2020,12.52,88.96
07.10.2020,12.74,86.0
06.10.2020,12.71,83.5
05.10.2020,12.37,92.38
04.10.2020,10.15,91.04
03.10.2020,11.59,83.42
02.10.2020,10.63,89.17
01.10.2020,9.84,86.21
30.09.2020,13.0,93.46
29.09.2020,13.09,83.62
28.09.2020,13.3,97.33
27.09.2020,11.24,74.04
26.09.2020,10.34,69.42
25.09.2020,10.4,81.25
24.09.2020,10.27,83.21
23.09.2020,12.28,85.79
22.09.2020,14.96,94.25
21.09.2020,15.69,85.71
20.09.2020,15.48,76.12
19.09.2020,15.41,74.83
18.09.2020,14.88,68.42
17.09.2020,16.65,75.58
16.09.2020,17.35,89.29
15.09.2020,17.12,87.71
14.09.2020,18.07,83.5
13.09.2020,16.49,89.12
12.09.2020,15.49,81.46
11.09.2020,15.3,76.08
10.09.2020,13.88,78.5
09.09.2020,15.17,84.0
08.09.2020,15.57,98.42
07.09.2020,14.61,95.5
06.09.2020,14.76,86.17
05.09.2020,14.05,79.67
04.09.2020,14.57,80.96
03.09.2020,16.03,90.17
02.09.2020,15.68,94.71
01.09.2020,15.32,79.58
31.08.2020,12.78,78.17
30.08.2020,13.52,70.42
29.08.2020,12.68,78.83
28.08.2020,13.51,90.08
27.08.2020,14.78,91.71
26.08.2020,15.65,83.67
25.08.2020,16.28,90.79
24.08.2020,15.8,93.75
23.08.2020,15.75,85.67
22.08.2020,16.25,83.96
21.08.2020,16.85,87.17
20.08.2020,17.7,82.29
19.08.2020,17.61,95.04
18.08.2020,18.36,91.29
17.08.2020,17.5,93.67
16.08.2020,17.88,93.46
15.08.2020,17.36,96.33
14.08.2020,18.98,94.75
13.08.2020,20.82,86.88
12.08.2020,21.67,82.92
11.08.2020,19.4,87.58
10.08.2020,17.23,90.88
09.08.2020,17.54,85.62
08.08.2020,16.83,87.79
07.08.2020,17.32,97.5
06.08.2020,16.99,90.25
05.08.2020,16.52,94.62
04.08.2020,15.39,91.62
03.08.2020,14.57,79.12
02.08.2020,15.5,82.08
01.08.2020,16.08,84.25
31.07.2020,17.78,84.08
30.07.2020,17.88,78.0
29.07.2020,14.75,86.46
28.07.2020,14.7,77.79
27.07.2020,16.02,89.46
26.07.2020,15.79,88.33
25.07.2020,15.89,92.71
24.07.2020,16.16,95.25
23.07.2020,15.94,92.46
22.07.2020,15.59,83.21
21.07.2020,14.71,76.17
20.07.2020,14.32,67.88
19.07.2020,14.26,74.96
18.07.2020,14.66,95.75
17.07.2020,15.76,91.71
16.07.2020,16.77,86.79
15.07.2020,15.18,87.17
14.07.2020,13.81,88.79
13.07.2020,15.0,96.54
12.07.2020,14.71,74.33
11.07.2020,14.53,73.75
10.07.2020,13.48,78.67
09.07.2020,14.41,92.83
08.07.2020,14.37,99.21
07.07.2020,13.7,90.17
06.07.2020,14.2,78.58
05.07.2020,14.37,81.71
04.07.2020,14.63,99.0
03.07.2020,14.1,92.71
02.07.2020,14.74,85.29
01.07.2020,14.3,93.43
30.06.2020,13.78,90.5
29.06.2020,13.54,77.17
28.06.2020,14.03,78.46
27.06.2020,14.17,89.62
26.06.2020,15.13,89.0
25.06.2020,20.79,73.25
24.06.2020,18.62,74.52
23.06.2020,16.06,85.12
22.06.2020,14.02,92.25
21.06.2020,14.49,84.83
20.06.2020,14.54,84.29
19.06.2020,13.64,89.25
18.06.2020,13.3,97.96
17.06.2020,14.74,90.96
16.06.2020,14.93,82.88
15.06.2020,14.88,83.88
14.06.2020,15.1,83.62
13.06.2020,15.21,81.21
12.06.2020,15.69,76.17
11.06.2020,13.84,78.25
10.06.2020,11.86,94.75
09.06.2020,11.91,84.29
08.06.2020,12.22,76.46
07.06.2020,11.42,84.38
06.06.2020,9.87,82.42
05.06.2020,11.8,71.0
04.06.2020,11.54,81.83
03.06.2020,13.12,83.46
02.06.2020,18.18,58.33
01.06.2020,17.88,53.92
31.05.2020,18.68,51.21
30.05.2020,17.6,52.29
29.05.2020,16.91,54.62
28.05.2020,17.53,62.42
27.05.2020,16.62,71.58
26.05.2020,13.82,88.29
25.05.2020,13.03,79.58
24.05.2020,12.5,85.83
23.05.2020,12.22,79.5
22.05.2020,13.06,82.12
21.05.2020,14.22,81.25
20.05.2020,14.0,74.67
19.05.2020,12.34,86.25
18.05.2020,12.19,85.71
17.05.2020,11.9,86.58
16.05.2020,11.04,83.67
15.05.2020,9.89,63.83
14.05.2020,8.82,55.21
13.05.2020,9.23,68.33
12.05.2020,8.12,63.17
11.05.2020,7.85,54.58
10.05.2020,13.32,69.92
09.05.2020,16.54,70.29
08.05.2020,14.82,79.46
07.05.2020,12.74,79.5
06.05.2020,12.23,61.75
05.05.2020,11.12,68.58
04.05.2020,12.9,69.12
03.05.2020,10.44,79.75
02.05.2020,10.13,76.62
01.05.2020,9.55,81.29
30.04.2020,9.28,81.54
29.04.2020,8.97,86.38
28.04.2020,8.76,92.62
27.04.2020,10.38,79.83
26.04.2020,10.08,86.5
25.04.2020,11.57,84.29
24.04.2020,12.37,75.21
23.04.2020,13.71,61.5
22.04.2020,13.33,63.46
21.04.2020,12.88,57.17
20.04.2020,12.39,52.33
19.04.2020,11.93,76.67
18.04.2020,9.67,86.21
17.04.2020,11.15,84.79
16.04.2020,12.53,58.75
15.04.2020,9.43,64.83
14.04.2020,7.1,68.5
13.04.2020,10.47,60.67
12.04.2020,11.82,80.5
11.04.2020,15.66,66.88
10.04.2020,15.2,65.75
09.04.2020,14.28,68.04
08.04.2020,12.7,62.92
07.04.2020,9.9,77.75
06.04.2020,9.94,86.08
05.04.2020,12.04,76.12
04.04.2020,10.18,77.96
03.04.2020,8.8,87.08
02.04.2020,9.18,79.67
01.04.2020,6.45,70.17
31.03.2020,7.07,68.88
30.03.2020,6.66,65.62
29.03.2020,5.45,54.88
28.03.2020,7.53,57.0
27.03.2020,7.46,54.88
26.03.2020,8.2,57.83
25.03.2020,9.13,68.25
24.03.2020,8.87,85.67
23.03.2020,7.82,71.38
22.03.2020,6.69,66.04
21.03.2020,6.95,60.83
20.03.2020,6.6,69.75
19.03.2020,5.75,84.54
18.03.2020,7.28,92.5
17.03.2020,9.31,98.88
16.03.2020,7.57,77.04
15.03.2020,7.91,84.5
14.03.2020,8.75,94.83
13.03.2020,8.04,79.83
12.03.2020,7.02,70.42
11.03.2020,8.78,87.83
10.03.2020,9.65,95.71
09.03.2020,8.17,87.83
08.03.2020,8.32,84.33
07.03.2020,9.18,93.88
06.03.2020,5.72,88.38
05.03.2020,5.33,81.12
04.03.2020,5.84,88.5
03.03.2020,7.0,71.62
02.03.2020,5.58,74.58
01.03.2020,6.57,71.25
29.02.2020,6.65,76.5
28.02.2020,8.61,93.62
27.02.2020,5.55,78.21
26.02.2020,5.76,72.92
25.02.2020,5.62,78.12
24.02.2020,8.83,90.58
23.02.2020,8.82,87.75
22.02.2020,9.22,88.71
