Date,Temp,Humidity
20.12.2020,9.2,83.95
19.12.2020,10.95,87.58
18.12.2020,11.38,91.43
17.12.2020,9.9,91.67
16.12.2020,10.35,84.48
15.12.2020,10.36,89.68
14.12.2020,11.4,90.4
13.12.2020,9.89,93.89
12.12.2020,8.32,82.74
11.12.2020,10.24,95.05
10.12.2020,8.54,85.25
09.12.2020,5.54,88.58
08.12.2020,1.65,99.7
07.12.2020,2.48,100.0
06.12.2020,5.0,91.29
05.12.2020,6.53,83.58
04.12.2020,4.52,85.57
03.12.2020,7.62,90.71
02.12.2020,5.8,88.35
01.12.2020,6.12,80.25
30.11.2020,7.1,95.95
29.11.2020,8.5,89.75
28.11.2020,11.63,85.79
27.11.2020,7.9,87.67
26.11.2020,7.45,91.82
25.11.2020,11.54,95.75
24.11.2020,11.22,83.48
23.11.2020,9.45,85.1
22.11.2020,11.69,83.94
21.11.2020,12.32,80.0
20.11.2020,9.45,91.73
19.11.2020,8.36,78.68
18.11.2020,13.68,90.21
17.11.2020,13.4,87.1
16.11.2020,11.8,81.73
15.11.2020,10.44,80.44
14.11.2020,14.16,87.68
13.11.2020,11.7,84.57
12.11.2020,12.13,77.35
11.11.2020,13.0,88.33
10.11.2020,12.48,95.04
09.11.2020,14.2,94.9
08.11.2020,14.28,94.33
07.11.2020,12.21,91.47
06.11.2020,10.26,77.61
05.11.2020,5.0,100.0
04.11.2020,7.12,81.08
03.11.2020,9.5,75.6
02.11.2020,13.85,76.2
01.11.2020,15.4,95.2
31.10.2020,13.55,84.41
30.10.2020,14.37,96.0
29.10.2020,13.64,94.0
28.10.2020,11.96,80.4
27.10.2020,12.12,94.25
26.10.2020,12.05,76.09
25.10.2020,11.19,83.29
24.10.2020,15.21,88.95
23.10.2020,14.28,88.0
22.10.2020,15.0,83.45
21.10.2020,15.29,93.79
20.10.2020,16.33,86.06
19.10.2020,14.21,65.89
18.10.2020,11.1,85.19
17.10.2020,11.7,80.35
16.10.2020,10.28,80.44
15.10.2020,10.88,75.96
14.10.2020,13.05,70.55
13.10.2020,9.61,89.26
12.10.2020,11.46,88.54
11.10.2020,11.86,75.19
10.10.2020,11.59,76.18
09.10.2020,12.62,77.83
08.10.2020,15.78,88.17
07.10.2020,13.8,74.24
06.10.2020,14.33,79.12
05.10.2020,14.13,85.26
04.10.2020,11.52,87.76
03.10.2020,14.43,79.43
02.10.2020,13.46,93.25
01.10.2020,13.5,74.33
30.09.2020,16.24,86.96
29.09.2020,16.56,82.4
28.09.2020,14.64,67.28
27.09.2020,13.14,68.67
26.09.2020,11.96,61.0
