Date,Temp,Humidity
20.12.2020,6.67,83.56
19.12.2020,8.71,86.71
18.12.2020,11.38,96.0
17.12.2020,8.27,91.46
16.12.2020,7.83,91.62
15.12.2020,7.74,86.77
14.12.2020,8.96,86.19
13.12.2020,8.46,95.33
12.12.2020,5.54,93.48
11.12.2020,8.02,98.13
10.12.2020,7.4,93.5
09.12.2020,4.69,90.44
08.12.2020,3.83,93.85
07.12.2020,1.9,98.85
06.12.2020,3.36,94.47
05.12.2020,3.27,96.0
04.12.2020,3.49,86.02
03.12.2020,3.95,96.25
02.12.2020,5.93,88.83
01.12.2020,5.33,82.6
30.11.2020,7.17,98.02
29.11.2020,5.55,100.0
28.11.2020,7.47,100.0
27.11.2020,1.39,99.03
26.11.2020,4.09,90.77
25.11.2020,7.75,91.62
24.11.2020,10.38,90.02
23.11.2020,8.25,90.69
22.11.2020,7.67,94.06
21.11.2020,9.6,93.4
20.11.2020,7.46,93.71
19.11.2020,7.02,81.94
18.11.2020,10.72,85.87
17.11.2020,11.67,89.94
16.11.2020,9.73,92.4
15.11.2020,8.83,87.87
14.11.2020,11.71,93.31
13.11.2020,9.31,85.98
12.11.2020,9.77,87.21
11.11.2020,11.1,91.23
10.11.2020,11.1,91.42
09.11.2020,12.65,95.62
08.11.2020,11.73,96.88
07.11.2020,8.83,96.98
06.11.2020,5.12,88.35
05.11.2020,6.23,87.5
04.11.2020,5.98,86.67
03.11.2020,6.38,85.27
02.11.2020,10.9,82.79
01.11.2020,13.38,90.77
31.10.2020,11.57,88.77
30.10.2020,13.69,94.88
29.10.2020,11.52,92.67
28.10.2020,8.23,86.92
27.10.2020,9.33,91.15
26.10.2020,8.73,88.67
25.10.2020,8.94,81.53
24.10.2020,11.06,92.21
23.10.2020,9.94,89.02
22.10.2020,10.0,90.56
21.10.2020,12.94,98.25
20.10.2020,13.83,91.85
19.10.2020,11.17,77.74
18.10.2020,8.29,85.56
17.10.2020,8.6,89.1
16.10.2020,8.28,87.17
15.10.2020,7.96,82.77
14.10.2020,9.7,86.23
13.10.2020,8.69,87.33
12.10.2020,9.28,91.94
11.10.2020,10.12,79.65
10.10.2020,8.85,87.79
09.10.2020,9.0,87.1
08.10.2020,12.77,88.69
07.10.2020,11.08,88.56
06.10.2020,11.27,94.38
05.10.2020,11.15,94.88
04.10.2020,9.1,95.54
03.10.2020,10.46,98.0
02.10.2020,10.27,98.12
01.10.2020,9.67,89.75
30.09.2020,11.92,93.5
29.09.2020,12.9,84.71
28.09.2020,11.9,92.23
27.09.2020,10.06,68.33
26.09.2020,9.02,67.51
25.09.2020,9.67,70.62
24.09.2020,9.23,80.9
23.09.2020,12.1,93.15
22.09.2020,15.06,88.77
21.09.2020,15.5,80.86
20.09.2020,15.5,80.65
19.09.2020,14.79,79.9
18.09.2020,13.83,73.19
