Date,Temp,Humidity
20.12.2020,8.12,81.44
19.12.2020,9.92,79.06
18.12.2020,11.98,94.12
17.12.2020,9.71,91.79
16.12.2020,8.85,89.62
15.12.2020,8.67,90.75
14.12.2020,10.21,83.08
13.12.2020,9.33,92.62
12.12.2020,6.9,86.92
11.12.2020,9.1,96.42
10.12.2020,8.33,95.12
09.12.2020,5.98,85.92
08.12.2020,4.94,87.65
07.12.2020,3.79,91.67
06.12.2020,4.64,79.89
05.12.2020,4.21,93.54
04.12.2020,4.54,83.25
03.12.2020,5.1,89.77
02.12.2020,6.98,87.19
01.12.2020,6.6,80.75
30.11.2020,8.77,94.9
29.11.2020,7.54,96.19
28.11.2020,7.04,98.69
27.11.2020,2.55,96.11
26.11.2020,5.1,90.27
25.11.2020,7.92,89.58
24.11.2020,11.44,94.25
23.11.2020,9.33,93.35
22.11.2020,8.98,87.48
21.11.2020,11.12,95.38
20.11.2020,9.5,92.73
19.11.2020,7.96,78.58
18.11.2020,11.79,84.83
17.11.2020,12.46,93.94
16.11.2020,11.52,86.29
15.11.2020,10.64,77.51
14.11.2020,12.42,90.25
13.11.2020,10.38,87.29
12.11.2020,11.06,87.98
11.11.2020,12.02,92.62
10.11.2020,11.79,92.25
09.11.2020,12.92,97.12
08.11.2020,12.12,97.12
07.11.2020,9.58,95.9
06.11.2020,7.29,85.12
05.11.2020,6.31,89.33
04.11.2020,6.19,87.33
03.11.2020,6.9,83.85
02.11.2020,11.98,79.02
01.11.2020,14.19,86.27
31.10.2020,12.98,80.64
30.10.2020,13.73,98.12
29.10.2020,13.21,90.75
28.10.2020,10.06,83.79
27.10.2020,10.98,86.56
26.10.2020,10.71,83.62
25.10.2020,10.32,81.64
24.10.2020,11.92,89.65
23.10.2020,11.15,85.0
22.10.2020,11.21,84.44
21.10.2020,13.54,98.88
20.10.2020,14.6,89.58
19.10.2020,11.72,86.98
18.10.2020,9.5,88.58
17.10.2020,9.48,87.4
16.10.2020,8.72,85.57
15.10.2020,8.79,79.42
14.10.2020,11.23,79.81
13.10.2020,9.5,88.0
12.10.2020,9.83,93.89
11.10.2020,10.6,82.92
10.10.2020,9.43,89.34
09.10.2020,9.65,85.06
08.10.2020,13.12,90.6
07.10.2020,12.4,88.96
06.10.2020,12.65,91.25
05.10.2020,11.75,96.12
04.10.2020,10.04,93.5
03.10.2020,11.69,91.25
02.10.2020,11.08,95.15
01.10.2020,10.35,88.96
30.09.2020,12.96,93.02
29.09.2020,13.31,85.15
28.09.2020,12.0,93.88
27.09.2020,10.69,74.15
26.09.2020,9.47,67.4
25.09.2020,9.9,72.54
24.09.2020,11.4,74.29
23.09.2020,13.1,89.27
22.09.2020,15.44,92.29
21.09.2020,16.14,77.32
20.09.2020,16.4,73.46
19.09.2020,16.33,70.54
18.09.2020,15.27,68.96
17.09.2020,16.4,69.58
16.09.2020,18.42,85.96
15.09.2020,18.21,79.83
14.09.2020,18.83,73.6
13.09.2020,16.88,83.38
12.09.2020,15.94,79.62
11.09.2020,14.56,77.38
10.09.2020,13.5,74.42
09.09.2020,16.0,85.75
08.09.2020,16.22,98.83
07.09.2020,14.42,94.73
06.09.2020,14.4,87.11
05.09.2020,13.19,83.08
04.09.2020,14.77,79.02
03.09.2020,16.81,91.62
02.09.2020,15.94,80.1
01.09.2020,14.83,74.17
31.08.2020,13.94,71.54
30.08.2020,13.06,67.94
29.08.2020,13.06,68.5
28.08.2020,14.15,87.56
27.08.2020,14.6,92.6
26.08.2020,15.79,81.44
25.08.2020,17.15,87.27
24.08.2020,16.67,91.9
23.08.2020,15.96,86.42
22.08.2020,16.81,79.04
21.08.2020,17.94,79.33
