Date,Temp,Humidity
20.12.2020,5.53,86.98
19.12.2020,9.13,85.04
18.12.2020,11.66,92.72
17.12.2020,7.56,90.44
16.12.2020,7.38,91.27
15.12.2020,6.3,90.74
14.12.2020,8.77,85.46
13.12.2020,6.6,94.04
12.12.2020,6.85,84.23
11.12.2020,8.15,94.85
10.12.2020,5.81,92.65
09.12.2020,4.98,84.89
08.12.2020,2.71,94.54
07.12.2020,0.73,97.04
06.12.2020,2.94,95.09
05.12.2020,3.75,91.94
04.12.2020,3.35,88.42
03.12.2020,3.94,93.17
02.12.2020,5.56,87.42
01.12.2020,4.83,79.77
30.11.2020,7.27,92.27
29.11.2020,6.85,98.36
28.11.2020,6.73,95.73
27.11.2020,3.3,88.57
26.11.2020,2.51,92.98
25.11.2020,7.09,91.7
24.11.2020,9.79,86.09
23.11.2020,5.67,91.25
22.11.2020,6.53,83.47
21.11.2020,10.71,85.9
20.11.2020,7.26,91.19
19.11.2020,7.26,77.53
18.11.2020,11.33,79.84
17.11.2020,12.54,87.19
16.11.2020,10.38,82.9
15.11.2020,9.11,83.41
14.11.2020,10.96,91.46
13.11.2020,9.72,80.6
12.11.2020,9.64,83.49
11.11.2020,10.69,90.71
10.11.2020,10.81,93.43
09.11.2020,11.94,97.19
08.11.2020,10.67,97.25
07.11.2020,6.54,91.35
06.11.2020,5.23,87.91
05.11.2020,6.42,85.54
04.11.2020,5.35,86.54
03.11.2020,6.25,81.06
02.11.2020,11.76,76.0
01.11.2020,13.48,83.31
31.10.2020,12.22,84.78
30.10.2020,14.12,88.17
29.10.2020,11.17,85.79
28.10.2020,8.15,83.15
27.10.2020,8.6,88.25
26.10.2020,8.45,85.09
25.10.2020,7.93,86.48
24.10.2020,10.23,89.23
23.10.2020,9.4,84.71
22.10.2020,10.34,78.23
21.10.2020,13.4,95.02
20.10.2020,13.62,85.6
19.10.2020,9.87,81.45
18.10.2020,9.35,88.31
17.10.2020,9.0,85.04
16.10.2020,8.67,88.64
15.10.2020,8.58,80.56
14.10.2020,9.5,87.5
13.10.2020,8.9,86.0
12.10.2020,9.04,88.63
11.10.2020,10.0,78.62
10.10.2020,9.17,85.3
09.10.2020,8.96,77.02
08.10.2020,12.21,84.67
07.10.2020,11.43,77.74
06.10.2020,11.7,86.17
05.10.2020,12.21,84.6
04.10.2020,10.25,90.73
03.10.2020,11.62,95.79
02.10.2020,11.0,90.73
01.10.2020,10.31,80.6
30.09.2020,11.06,92.43
29.09.2020,13.54,75.6
28.09.2020,10.77,83.7
27.09.2020,10.15,66.21
26.09.2020,9.45,65.19
25.09.2020,9.98,69.04
24.09.2020,8.98,84.3
23.09.2020,13.04,86.46
22.09.2020,16.35,78.73
21.09.2020,14.82,83.5
20.09.2020,14.81,77.04
19.09.2020,15.08,76.35
18.09.2020,13.22,74.17
17.09.2020,14.41,72.72
16.09.2020,16.54,80.4
15.09.2020,20.23,68.28
14.09.2020,17.48,73.63
13.09.2020,17.06,76.98
12.09.2020,15.33,70.25
11.09.2020,13.02,77.88
10.09.2020,12.21,74.85
09.09.2020,15.9,72.21
08.09.2020,18.91,83.72
07.09.2020,14.48,85.75
06.09.2020,14.15,76.32
05.09.2020,13.62,68.27
04.09.2020,13.96,74.96
03.09.2020,17.26,79.55
02.09.2020,13.69,83.83
01.09.2020,14.1,69.44
31.08.2020,11.89,75.7
30.08.2020,11.73,69.19
29.08.2020,11.81,75.92
28.08.2020,12.89,89.47
27.08.2020,12.53,92.47
26.08.2020,16.42,69.58
25.08.2020,16.38,85.5
24.08.2020,16.15,76.43
23.08.2020,16.15,74.6
22.08.2020,16.44,77.27
21.08.2020,17.71,74.94
20.08.2020,18.21,67.62
19.08.2020,17.98,93.62
18.08.2020,18.52,81.69
17.08.2020,16.79,91.5
16.08.2020,17.12,94.64
15.08.2020,17.43,79.7
14.08.2020,18.87,79.57
13.08.2020,19.17,87.56
12.08.2020,24.49,72.91
11.08.2020,23.42,72.75
10.08.2020,21.89,74.34
09.08.2020,18.72,80.45
08.08.2020,21.6,70.1
07.08.2020,22.6,68.11
06.08.2020,19.35,84.48
05.08.2020,18.83,78.17
04.08.2020,14.96,71.37
03.08.2020,15.63,59.85
02.08.2020,16.21,64.08
01.08.2020,17.56,70.42
31.07.2020,23.4,56.47
30.07.2020,19.62,60.36
29.07.2020,16.09,64.48
28.07.2020,14.85,63.81
27.07.2020,16.0,84.43
26.07.2020,16.04,75.52
25.07.2020,17.27,83.85
24.07.2020,18.69,72.98
23.07.2020,16.98,72.56
22.07.2020,17.11,62.17
21.07.2020,14.92,59.56
20.07.2020,14.46,59.5
19.07.2020,15.42,65.02
18.07.2020,17.13,76.98
17.07.2020,19.46,67.98
16.07.2020,17.85,74.85
15.07.2020,14.71,81.38
14.07.2020,15.43,71.15
13.07.2020,16.31,76.38
12.07.2020,15.62,58.04
11.07.2020,14.4,62.08
10.07.2020,13.88,66.88
09.07.2020,14.08,94.5
08.07.2020,14.94,95.81
07.07.2020,13.44,83.6
06.07.2020,14.77,59.83
05.07.2020,16.22,60.35
04.07.2020,17.4,81.04
03.07.2020,14.31,81.94
02.07.2020,15.27,77.54
01.07.2020,15.96,79.1
30.06.2020,15.56,72.75
29.06.2020,13.54,70.54
28.06.2020,14.52,66.79
27.06.2020,15.71,80.44
26.06.2020,21.8,64.83
25.06.2020,23.94,54.73
24.06.2020,22.38,61.5
23.06.2020,19.34,65.55
22.06.2020,16.08,67.52
21.06.2020,15.69,72.23
20.06.2020,15.11,80.98
19.06.2020,13.62,87.92
18.06.2020,13.43,97.52
17.06.2020,15.23,91.73
16.06.2020,16.82,86.2
15.06.2020,18.36,67.11
14.06.2020,17.23,75.79
13.06.2020,17.26,75.3
12.06.2020,14.29,94.4
11.06.2020,12.34,90.21
10.06.2020,12.5,77.77
09.06.2020,13.87,59.28
08.06.2020,11.58,71.48
07.06.2020,11.31,84.67
06.06.2020,10.66,74.68
05.06.2020,10.77,64.85
04.06.2020,10.94,77.47
03.06.2020,12.92,81.79
02.06.2020,17.98,48.56
01.06.2020,17.19,54.56
31.05.2020,17.23,54.7
30.05.2020,16.88,52.44
29.05.2020,17.08,45.35
28.05.2020,16.12,58.71
27.05.2020,17.38,54.94
26.05.2020,17.0,59.46
25.05.2020,15.93,49.69
24.05.2020,15.62,58.73
23.05.2020,13.12,58.83
22.05.2020,15.29,58.9
21.05.2020,17.1,58.92
20.05.2020,18.79,59.35
19.05.2020,17.92,61.56
18.05.2020,14.73,65.88
17.05.2020,12.92,63.67
16.05.2020,11.67,57.1
15.05.2020,10.1,63.35
14.05.2020,8.22,56.91
13.05.2020,7.29,59.71
12.05.2020,8.02,61.48
11.05.2020,6.28,61.06
10.05.2020,9.81,73.19
09.05.2020,17.17,68.96
08.05.2020,16.44,71.79
07.05.2020,14.02,63.77
06.05.2020,10.23,62.12
05.05.2020,9.88,63.4
04.05.2020,10.43,78.77
03.05.2020,10.67,71.69
02.05.2020,10.21,64.47
01.05.2020,9.35,72.94
30.04.2020,8.28,82.18
29.04.2020,8.7,85.42
28.04.2020,7.38,86.52
27.04.2020,11.48,63.48
26.04.2020,13.11,63.93
25.04.2020,9.65,72.83
24.04.2020,12.6,59.02
23.04.2020,12.49,66.66
22.04.2020,11.83,65.68
21.04.2020,10.89,65.77
20.04.2020,9.69,65.25
19.04.2020,9.44,67.48
18.04.2020,7.35,85.69
17.04.2020,9.4,75.13
16.04.2020,12.23,56.7
15.04.2020,9.58,57.73
14.04.2020,6.92,58.15
13.04.2020,6.81,62.62
12.04.2020,13.83,70.83
11.04.2020,16.21,59.67
10.04.2020,14.23,67.79
09.04.2020,13.94,67.36
08.04.2020,14.34,57.32
07.04.2020,10.23,61.92
06.04.2020,11.98,63.68
05.04.2020,12.58,56.44
04.04.2020,7.88,74.98
03.04.2020,8.38,63.02
02.04.2020,9.1,68.19
01.04.2020,6.15,69.21
31.03.2020,5.58,71.77
30.03.2020,5.0,74.88
29.03.2020,4.19,60.38
28.03.2020,5.75,73.19
27.03.2020,5.44,71.4
26.03.2020,6.6,53.42
25.03.2020,7.52,54.77
24.03.2020,7.71,70.88
23.03.2020,4.96,67.75
22.03.2020,4.96,68.32
21.03.2020,5.55,63.62
20.03.2020,5.69,78.58
19.03.2020,5.19,82.83
18.03.2020,7.85,93.45
17.03.2020,9.79,84.34
16.03.2020,6.81,69.75
15.03.2020,8.07,83.44
14.03.2020,8.33,88.73
13.03.2020,6.27,81.4
12.03.2020,5.87,65.91
11.03.2020,9.29,77.1
10.03.2020,11.79,83.77
09.03.2020,7.15,81.17
08.03.2020,9.06,72.89
07.03.2020,8.15,81.32
06.03.2020,4.04,74.12
05.03.2020,3.98,87.9
04.03.2020,3.67,87.02
03.03.2020,4.9,75.44
02.03.2020,3.91,74.64
01.03.2020,5.09,71.98
