Date,Temp,Humidity
19.11.2020,6.44,82.78
18.11.2020,11.63,81.54
17.11.2020,13.89,81.63
16.11.2020,11.05,81.84
15.11.2020,9.7,79.65
14.11.2020,11.25,85.79
13.11.2020,9.12,82.22
12.11.2020,10.13,82.21
11.11.2020,11.64,84.58
10.11.2020,11.94,87.06
09.11.2020,12.06,95.03
08.11.2020,9.88,97.75
07.11.2020,6.67,91.67
06.11.2020,6.76,89.73
05.11.2020,7.65,85.46
04.11.2020,6.14,89.59
03.11.2020,6.16,80.68
02.11.2020,10.58,76.06
01.11.2020,13.5,80.21
31.10.2020,12.38,80.83
30.10.2020,13.39,87.0
29.10.2020,12.46,85.82
28.10.2020,8.46,78.62
27.10.2020,9.37,85.45
26.10.2020,9.34,81.03
25.10.2020,8.21,82.75
24.10.2020,10.42,85.62
23.10.2020,8.62,84.59
22.10.2020,8.92,78.39
21.10.2020,13.36,91.85
20.10.2020,14.39,81.63
19.10.2020,10.67,80.0
18.10.2020,9.12,88.92
17.10.2020,7.96,89.88
16.10.2020,8.64,90.31
15.10.2020,8.5,82.69
14.10.2020,10.62,83.5
13.10.2020,9.27,88.45
12.10.2020,9.51,91.12
11.10.2020,9.62,83.79
10.10.2020,9.75,86.08
09.10.2020,9.0,81.09
08.10.2020,11.79,83.3
07.10.2020,11.66,78.12
06.10.2020,11.87,87.74
05.10.2020,12.67,90.25
04.10.2020,10.88,88.42
03.10.2020,10.71,95.25
02.10.2020,11.34,84.94
01.10.2020,10.78,77.5
30.09.2020,11.97,90.09
29.09.2020,12.79,80.88
28.09.2020,10.62,90.62
27.09.2020,8.29,75.25
26.09.2020,9.08,72.0
25.09.2020,10.14,72.52
24.09.2020,9.56,79.94
23.09.2020,11.76,87.79
22.09.2020,15.62,82.68
21.09.2020,14.31,84.62
20.09.2020,13.75,77.25
19.09.2020,14.17,75.12
18.09.2020,13.04,75.96
17.09.2020,15.03,70.7
16.09.2020,16.03,87.0
15.09.2020,18.71,74.65
14.09.2020,17.34,76.77
13.09.2020,17.54,73.88
12.09.2020,14.79,74.58
11.09.2020,14.68,73.52
10.09.2020,12.95,76.68
09.09.2020,14.82,77.0
08.09.2020,19.17,83.83
07.09.2020,15.15,86.66
06.09.2020,13.33,84.54
05.09.2020,13.08,76.46
04.09.2020,13.81,76.69
03.09.2020,16.87,78.29
02.09.2020,14.47,85.29
01.09.2020,15.0,68.11
31.08.2020,11.88,71.75
30.08.2020,10.54,73.04
29.08.2020,11.88,74.21
28.08.2020,13.18,86.58
27.08.2020,12.87,91.47
26.08.2020,15.97,76.16
25.08.2020,16.31,87.03
24.08.2020,16.26,74.76
23.08.2020,15.67,81.46
22.08.2020,16.38,78.17
21.08.2020,17.61,78.09
20.08.2020,18.54,64.17
19.08.2020,17.76,94.03
18.08.2020,17.84,85.6
17.08.2020,17.24,90.5
16.08.2020,17.17,90.26
15.08.2020,17.67,79.42
14.08.2020,19.34,81.03
13.08.2020,20.76,82.18
12.08.2020,23.53,77.26
11.08.2020,22.0,78.54
10.08.2020,20.39,80.92
09.08.2020,18.04,78.0
08.08.2020,19.42,78.25
07.08.2020,22.53,71.24
06.08.2020,20.48,76.79
05.08.2020,19.61,73.12
04.08.2020,14.84,78.81
03.08.2020,13.91,73.88
02.08.2020,15.62,71.96
01.08.2020,16.12,77.83
31.07.2020,22.88,56.88
30.07.2020,20.41,56.69
29.07.2020,15.41,72.31
28.07.2020,14.82,66.21
27.07.2020,16.36,84.19
26.07.2020,16.08,74.62
25.07.2020,17.42,78.17
24.07.2020,18.27,76.15
23.07.2020,16.66,79.42
22.07.2020,15.97,69.5
21.07.2020,13.76,70.87
20.07.2020,13.17,69.42
