Date,Temp,Humidity
20.12.2020,4.78,90.88
19.12.2020,8.02,85.67
18.12.2020,11.26,90.0
17.12.2020,6.3,92.83
16.12.2020,6.28,92.75
15.12.2020,5.99,87.0
14.12.2020,7.63,85.96
13.12.2020,5.08,96.42
12.12.2020,5.51,97.38
11.12.2020,5.73,100.0
10.12.2020,3.55,98.75
09.12.2020,4.2,93.88
08.12.2020,3.4,97.0
07.12.2020,2.11,94.58
06.12.2020,3.48,95.21
05.12.2020,2.13,96.17
04.12.2020,1.12,97.71
03.12.2020,2.11,96.88
02.12.2020,4.96,92.54
01.12.2020,3.28,81.42
30.11.2020,6.92,90.46
29.11.2020,6.4,99.21
28.11.2020,3.39,94.71
27.11.2020,2.91,88.0
26.11.2020,5.05,94.29
25.11.2020,6.26,92.21
24.11.2020,9.48,85.96
23.11.2020,5.42,91.33
22.11.2020,5.15,86.75
21.11.2020,8.55,90.54
20.11.2020,6.5,93.79
19.11.2020,4.43,80.96
18.11.2020,9.28,86.83
17.11.2020,12.06,90.29
16.11.2020,8.6,91.46
15.11.2020,7.92,87.25
14.11.2020,9.25,90.29
13.11.2020,7.59,85.58
12.11.2020,8.61,87.46
11.11.2020,9.95,87.0
10.11.2020,10.21,95.46
09.11.2020,9.78,100.0
08.11.2020,7.6,100.0
07.11.2020,5.26,99.79
06.11.2020,6.35,97.67
05.11.2020,7.68,92.83
04.11.2020,6.16,86.5
03.11.2020,4.76,87.33
02.11.2020,8.99,89.88
01.11.2020,10.57,87.75
31.10.2020,9.95,87.25
30.10.2020,10.38,93.75
29.10.2020,9.67,93.5
28.10.2020,6.49,88.38
27.10.2020,6.9,92.71
26.10.2020,7.44,89.54
25.10.2020,7.15,86.21
24.10.2020,8.42,90.25
23.10.2020,6.4,87.79
22.10.2020,7.85,86.21
21.10.2020,11.86,92.83
20.10.2020,12.2,83.17
19.10.2020,9.62,80.83
18.10.2020,7.52,90.92
17.10.2020,8.18,92.96
16.10.2020,7.7,87.33
15.10.2020,7.05,91.79
14.10.2020,8.93,95.08
13.10.2020,7.11,95.58
12.10.2020,8.3,90.79
11.10.2020,7.99,82.62
10.10.2020,8.22,88.46
09.10.2020,7.02,86.54
08.10.2020,8.23,90.83
07.10.2020,9.78,85.5
06.10.2020,9.81,92.17
05.10.2020,10.9,88.0
04.10.2020,10.11,92.21
03.10.2020,10.68,99.5
02.10.2020,8.77,92.71
01.10.2020,8.03,84.21
30.09.2020,10.42,89.92
29.09.2020,10.66,78.58
28.09.2020,9.64,91.12
27.09.2020,7.59,79.88
26.09.2020,7.11,75.5
25.09.2020,7.72,79.96
24.09.2020,6.9,94.67
23.09.2020,10.18,96.12
22.09.2020,13.81,87.38
21.09.2020,12.61,84.33
20.09.2020,11.9,85.58
19.09.2020,12.05,81.0
18.09.2020,11.34,82.62
17.09.2020,12.41,78.88
16.09.2020,12.6,90.71
15.09.2020,18.23,73.54
14.09.2020,17.37,74.54
13.09.2020,16.42,78.92
