# Weather station Valley (airport), UK, METAR=EGOV,selection from 03.02.2020 till 20.11.2020, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/metar.php?metar=EGOV&lang=en
#
"Local time in Valley (airport)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"19.11.2020 23:50";"9.0";"774.6";"774.7";"71";"Wind blowing from the south-west";"7";"";"";"";"Few clouds (10-30%) 840 m, broken clouds (60-90%) 1080 m";"10.0 and more";"4.0";
"19.11.2020 22:50";"9.0";"774.6";"774.7";"71";"Wind blowing from the south-west";"6";"";"";"";"Scattered clouds (40-50%) 840 m, scattered clouds (40-50%) 1230 m, broken clouds (60-90%) 3300 m";"10.0 and more";"4.0";
"19.11.2020 21:50";"8.0";"775.4";"775.5";"66";"Wind blowing from the west-southwest";"4";"";"";"";"Broken clouds (60-90%) 990 m, broken clouds (60-90%) 3600 m";"10.0 and more";"2.0";
"19.11.2020 20:50";"7.0";"775.4";"775.5";"71";"Wind blowing from the west";"4";"";"";"";"Few clouds (10-30%) 900 m, broken clouds (60-90%) 3300 m";"10.0 and more";"2.0";
"19.11.2020 19:50";"7.0";"775.4";"775.5";"71";"Wind blowing from the west-northwest";"4";"";"";"";"Few clouds (10-30%) 1110 m, broken clouds (60-90%) 3900 m";"10.0 and more";"2.0";
"19.11.2020 18:50";"7.0";"775.4";"775.5";"71";"Wind blowing from the west-northwest";"3";"";"";"";"Scattered clouds (40-50%) 1080 m, broken clouds (60-90%) 3900 m";"10.0 and more";"2.0";
"19.11.2020 18:20";"7.0";"774.6";"774.7";"71";"Wind blowing from the west";"3";"";"";"";"Few clouds (10-30%) 1080 m, scattered clouds (40-50%) 1380 m, broken clouds (60-90%) 4200 m";"10.0 and more";"2.0";
"19.11.2020 17:50";"7.0";"774.6";"774.7";"76";"Wind blowing from the west";"3";"";"";"";"Scattered clouds (40-50%) 1050 m, broken clouds (60-90%) 1380 m, broken clouds (60-90%) 4500 m";"10.0 and more";"3.0";
"19.11.2020 17:20";"7.0";"774.6";"774.7";"76";"Wind blowing from the west";"1";"";"";"";"Scattered clouds (40-50%) 1080 m, broken clouds (60-90%) 1440 m, overcast (100%) 5100 m";"10.0 and more";"3.0";
"19.11.2020 16:50";"7.0";"774.6";"774.7";"76";"Wind blowing from the west-northwest";"3";"";"";"";"Scattered clouds (40-50%) 1200 m, broken clouds (60-90%) 1800 m, broken clouds (60-90%) 5100 m";"10.0 and more";"3.0";
