"# Weather station London / St. James's Park, UK, WMO_ID=3770,selection from 11.02.2020 till 11.11.2020, all days",,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Encoding: UTF-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The data is provided by the website ""Reliable Prognosis"", rp5.ru",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# If you use the data, please indicate the name of the website.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=3770&lang=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local time in London / St. James's Park,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
10.11.2020 23:00,9.5,,,,97,,,,,, ,,,,,,,,,,,9.0,,,,,,
10.11.2020 22:00,9.8,,,,96,,,,,, ,,,,,,,,,,,9.2,,,,,,
10.11.2020 21:00,10.6,,,,95,,,,,, ,,,,,,,,,,,9.9,,,,,,
10.11.2020 20:00,11.3,,,,95,,,,,, ,,,,,,,,,,,10.5,,,,,,
10.11.2020 19:00,11.5,,,,92,,,,,, ,,,,,,,,,,,10.3,,,,,,
10.11.2020 18:00,12.1,,,,91,,,,,, ,,,,15.2,,,,,,,10.7,No precipitation,12,,,,
10.11.2020 17:00,13.6,,,,86,,,,,, ,,,,,,,,,,,11.2,,,,,,
10.11.2020 16:00,13.9,,,,81,,,,,, ,,,,,,,,,,,10.7,,,,,,
10.11.2020 15:00,13.9,,,,81,,,,,, ,,,,,,,,,,,10.6,,,,,,
10.11.2020 14:00,14.7,,,,75,,,,,, ,,,,,,,,,,,10.3,,,,,,
10.11.2020 13:00,14.7,,,,80,,,,,, ,,,,,,,,,,,11.2,,,,,,
10.11.2020 12:00,14.1,,,,85,,,,,, ,,,,,,,,,,,11.6,No precipitation,6,,,,
10.11.2020 11:00,14.3,,,,85,,,,,, ,,,,,,,,,,,11.8,,,,,,
10.11.2020 10:00,12.6,,,,97,,,,,, ,,,,,,,,,,,12.1,,,,,,
10.11.2020 09:00,11.4,,,,97,,,,,, ,,,,,,,,,,,11.0,,,,,,
10.11.2020 08:00,11.2,,,,97,,,,,, ,,,,,,,,,,,10.8,,,,,,
10.11.2020 07:00,11.6,,,,98,,,,,, ,,,,,,,,,,,11.3,,,,,,
10.11.2020 06:00,11.8,,,,99,,,,,, ,,,10.6,,,,,,,,11.6,2,12,,,,
10.11.2020 05:00,10.6,,,,97,,,,,, ,,,,,,,,,,,10.2,,,,,,
10.11.2020 04:00,11.7,,,,97,,,,,, ,,,,,,,,,,,11.2,,,,,,
10.11.2020 03:00,12.4,,,,97,,,,,, ,,,,,,,,,,,12.0,,,,,,
10.11.2020 02:00,12.7,,,,97,,,,,, ,,,,,,,,,,,12.3,,,,,,
10.11.2020 01:00,12.7,,,,97,,,,,, ,,,,,,,,,,,12.3,,,,,,
10.11.2020 00:00,12.8,,,,97,,,,,, ,,,,,,,,,,,12.4,1,6,,,,
09.11.2020 23:00,12.6,,,,97,,,,,, ,,,,,,,,,,,12.2,,,,,,
09.11.2020 22:00,12.5,,,,97,,,,,, ,,,,,,,,,,,12.0,,,,,,
09.11.2020 21:00,12.7,,,,95,,,,,, ,,,,,,,,,,,11.9,,,,,,
09.11.2020 20:00,13.0,,,,94,,,,,, ,,,,,,,,,,,12.1,,,,,,
09.11.2020 19:00,13.7,,,,93,,,,,, ,,,,,,,,,,,12.6,,,,,,
09.11.2020 18:00,14.0,,,,94,,,,,, ,,,,17.5,,,,,,,13.0,2,12,,,,
09.11.2020 17:00,14.5,,,,88,,,,,, ,,,,,,,,,,,12.6,,,,,,
09.11.2020 16:00,15.4,,,,81,,,,,, ,,,,,,,,,,,12.2,,,,,,
09.11.2020 15:00,16.4,,,,80,,,,,, ,,,,,,,,,,,13.0,,,,,,
09.11.2020 14:00,16.9,,,,79,,,,,, ,,,,,,,,,,,13.3,,,,,,
09.11.2020 13:00,15.9,,,,83,,,,,, ,,,,,,,,,,,13.0,,,,,,
09.11.2020 12:00,16.8,,,,83,,,,,, ,,,,,,,,,,,13.8,No precipitation,6,,,,
09.11.2020 11:00,15.0,,,,90,,,,,, ,,,,,,,,,,,13.3,,,,,,
09.11.2020 10:00,13.6,,,,96,,,,,, ,,,,,,,,,,,13.0,,,,,,
09.11.2020 09:00,12.9,,,,97,,,,,, ,,,,,,,,,,,12.5,,,,,,
09.11.2020 08:00,12.0,,,,98,,,,,, ,,,,,,,,,,,11.7,,,,,,
09.11.2020 07:00,12.0,,,,97,,,,,, ,,,,,,,,,,,11.6,,,,,,
09.11.2020 06:00,11.8,,,,97,,,,,, ,,,11.8,,,,,,,,11.3,2,12,,,,
09.11.2020 05:00,12.6,,,,97,,,,,, ,,,,,,,,,,,12.2,,,,,,
09.11.2020 04:00,12.6,,,,97,,,,,, ,,,,,,,,,,,12.2,,,,,,
09.11.2020 03:00,12.6,,,,97,,,,,, ,,,,,,,,,,,12.2,,,,,,
09.11.2020 02:00,12.2,,,,97,,,,,, ,,,,,,,,,,,11.7,,,,,,
09.11.2020 01:00,12.6,,,,97,,,,,, ,,,,,,,,,,,12.1,,,,,,
09.11.2020 00:00,13.1,,,,97,,,,,, ,,,,,,,,,,,12.6,2,6,,,,
08.11.2020 23:00,13.6,,,,97,,,,,, ,,,,,,,,,,,13.1,,,,,,
08.11.2020 22:00,13.5,,,,96,,,,,, ,,,,,,,,,,,12.8,,,,,,
08.11.2020 21:00,13.8,,,,95,,,,,, ,,,,,,,,,,,13.0,,,,,,
08.11.2020 20:00,14.1,,,,93,,,,,, ,,,,,,,,,,,13.0,,,,,,
08.11.2020 19:00,14.5,,,,90,,,,,, ,,,,,,,,,,,12.9,,,,,,
08.11.2020 18:00,14.0,,,,91,,,,,, ,,,,15.5,,,,,,,12.5,No precipitation,12,,,,
08.11.2020 17:00,14.1,,,,88,,,,,, ,,,,,,,,,,,12.2,,,,,,
08.11.2020 16:00,14.6,,,,87,,,,,, ,,,,,,,,,,,12.4,,,,,,
08.11.2020 15:00,14.9,,,,85,,,,,, ,,,,,,,,,,,12.4,,,,,,
08.11.2020 14:00,15.1,,,,82,,,,,, ,,,,,,,,,,,12.1,,,,,,
08.11.2020 13:00,15.4,,,,81,,,,,, ,,,,,,,,,,,12.2,,,,,,
08.11.2020 12:00,15.4,,,,79,,,,,, ,,,,,,,,,,,11.7,No precipitation,6,,,,
08.11.2020 11:00,14.4,,,,82,,,,,, ,,,,,,,,,,,11.3,,,,,,
08.11.2020 10:00,12.3,,,,94,,,,,, ,,,,,,,,,,,11.3,,,,,,
08.11.2020 09:00,11.4,,,,96,,,,,, ,,,,,,,,,,,10.8,,,,,,
08.11.2020 08:00,10.7,,,,97,,,,,, ,,,,,,,,,,,10.2,,,,,,
08.11.2020 07:00,10.4,,,,95,,,,,, ,,,,,,,,,,,9.6,,,,,,
08.11.2020 06:00,10.7,,,,97,,,,,, ,,,9.4,,,,,,,,10.3,No precipitation,12,,,,
08.11.2020 05:00,10.0,,,,96,,,,,, ,,,,,,,,,,,9.4,,,,,,
08.11.2020 04:00,10.4,,,,95,,,,,, ,,,,,,,,,,,9.7,,,,,,
08.11.2020 03:00,10.7,,,,97,,,,,, ,,,,,,,,,,,10.2,,,,,,
08.11.2020 02:00,10.1,,,,97,,,,,, ,,,,,,,,,,,9.6,,,,,,
08.11.2020 01:00,10.3,,,,96,,,,,, ,,,,,,,,,,,9.7,,,,,,
08.11.2020 00:00,10.5,,,,96,,,,,, ,,,,,,,,,,,9.9,No precipitation,6,,,,
07.11.2020 23:00,9.8,,,,97,,,,,, ,,,,,,,,,,,9.3,,,,,,
07.11.2020 22:00,9.7,,,,97,,,,,, ,,,,,,,,,,,9.2,,,,,,
07.11.2020 21:00,9.9,,,,95,,,,,, ,,,,,,,,,,,9.2,,,,,,
07.11.2020 20:00,10.3,,,,93,,,,,, ,,,,,,,,,,,9.2,,,,,,
07.11.2020 19:00,11.1,,,,93,,,,,, ,,,,,,,,,,,10.0,,,,,,
07.11.2020 18:00,11.2,,,,91,,,,,, ,,,,14.0,,,,,,,9.8,No precipitation,12,,,,
07.11.2020 17:00,11.7,,,,88,,,,,, ,,,,,,,,,,,9.8,,,,,,
07.11.2020 16:00,12.4,,,,85,,,,,, ,,,,,,,,,,,9.9,,,,,,
07.11.2020 15:00,13.3,,,,80,,,,,, ,,,,,,,,,,,9.8,,,,,,
07.11.2020 14:00,13.8,,,,76,,,,,, ,,,,,,,,,,,9.7,,,,,,
07.11.2020 13:00,13.2,,,,77,,,,,, ,,,,,,,,,,,9.2,,,,,,
07.11.2020 12:00,13.4,,,,76,,,,,, ,,,,,,,,,,,9.3,No precipitation,6,,,,
07.11.2020 11:00,11.6,,,,80,,,,,, ,,,,,,,,,,,8.2,,,,,,
07.11.2020 10:00,9.5,,,,87,,,,,, ,,,,,,,,,,,7.4,,,,,,
07.11.2020 09:00,8.2,,,,89,,,,,, ,,,,,,,,,,,6.5,,,,,,
07.11.2020 08:00,6.2,,,,96,,,,,, ,,,,,,,,,,,5.6,,,,,,
07.11.2020 07:00,5.9,,,,95,,,,,, ,,,,,,,,,,,5.2,,,,,,
07.11.2020 06:00,5.9,,,,94,,,,,, ,,,5.9,,,,,,,,5.0,No precipitation,12,,,,
07.11.2020 05:00,6.5,,,,93,,,,,, ,,,,,,,,,,,5.5,,,,,,
07.11.2020 04:00,6.6,,,,90,,,,,, ,,,,,,,,,,,5.1,,,,,,
07.11.2020 03:00,7.1,,,,85,,,,,, ,,,,,,,,,,,4.8,,,,,,
07.11.2020 02:00,7.8,,,,83,,,,,, ,,,,,,,,,,,5.0,,,,,,
07.11.2020 01:00,8.3,,,,79,,,,,, ,,,,,,,,,,,4.8,,,,,,
07.11.2020 00:00,9.5,,,,73,,,,,, ,,,,,,,,,,,4.8,No precipitation,6,,,,
06.11.2020 23:00,9.6,,,,73,,,,,, ,,,,,,,,,,,4.9,,,,,,
06.11.2020 22:00,9.9,,,,69,,,,,, ,,,,,,,,,,,4.5,,,,,,
06.11.2020 21:00,9.9,,,,72,,,,,, ,,,,,,,,,,,5.1,,,,,,
06.11.2020 20:00,10.0,,,,71,,,,,, ,,,,,,,,,,,4.9,,,,,,
06.11.2020 19:00,10.0,,,,72,,,,,, ,,,,,,,,,,,5.1,,,,,,
06.11.2020 18:00,10.1,,,,70,,,,,, ,,,,11.7,,,,,,,4.9,0.2,12,,,,
06.11.2020 17:00,9.5,,,,68,,,,,, ,,,,,,,,,,,3.9,,,,,,
06.11.2020 16:00,10.2,,,,67,,,,,, ,,,,,,,,,,,4.2,,,,,,
06.11.2020 15:00,11.6,,,,61,,,,,, ,,,,,,,,,,,4.3,,,,,,
06.11.2020 14:00,10.7,,,,61,,,,,, ,,,,,,,,,,,3.4,,,,,,
06.11.2020 13:00,10.5,,,,70,,,,,, ,,,,,,,,,,,5.3,,,,,,
06.11.2020 12:00,9.8,,,,74,,,,,, ,,,,,,,,,,,5.4,0.2,6,,,,
06.11.2020 11:00,8.9,,,,81,,,,,, ,,,,,,,,,,,5.7,,,,,,
06.11.2020 10:00,8.0,,,,88,,,,,, ,,,,,,,,,,,6.1,,,,,,
06.11.2020 09:00,6.5,,,,94,,,,,, ,,,,,,,,,,,5.6,,,,,,
06.11.2020 08:00,5.0,,,,99,,,,,, ,,,,,,,,,,,4.8,,,,,,
06.11.2020 07:00,3.5,,,,97,,,,,, ,,,,,,,,,,,3.1,,,,,,
06.11.2020 06:00,3.8,,,,95,,,,,, ,,,3.8,,,,,,,,3.1,No precipitation,12,,,,
06.11.2020 05:00,4.9,,,,96,,,,,, ,,,,,,,,,,,4.3,,,,,,
06.11.2020 04:00,5.4,,,,97,,,,,, ,,,,,,,,,,,5.0,,,,,,
06.11.2020 03:00,4.8,,,,98,,,,,, ,,,,,,,,,,,4.5,,,,,,
06.11.2020 02:00,5.4,,,,98,,,,,, ,,,,,,,,,,,5.1,,,,,,
06.11.2020 01:00,4.5,,,,97,,,,,, ,,,,,,,,,,,4.1,,,,,,
06.11.2020 00:00,4.6,,,,97,,,,,, ,,,,,,,,,,,4.2,No precipitation,6,,,,
05.11.2020 23:00,5.0,,,,97,,,,,, ,,,,,,,,,,,4.6,,,,,,
05.11.2020 22:00,5.0,,,,97,,,,,, ,,,,,,,,,,,4.5,,,,,,
05.11.2020 21:00,5.4,,,,96,,,,,, ,,,,,,,,,,,4.8,,,,,,
05.11.2020 20:00,5.5,,,,96,,,,,, ,,,,,,,,,,,4.9,,,,,,
05.11.2020 19:00,5.5,,,,95,,,,,, ,,,,,,,,,,,4.7,,,,,,
05.11.2020 18:00,6.4,,,,93,,,,,, ,,,,10.4,,,,,,,5.3,No precipitation,12,,,,
05.11.2020 17:00,7.0,,,,88,,,,,, ,,,,,,,,,,,5.1,,,,,,
05.11.2020 16:00,8.8,,,,81,,,,,, ,,,,,,,,,,,5.6,,,,,,
05.11.2020 15:00,10.3,,,,74,,,,,, ,,,,,,,,,,,5.9,,,,,,
05.11.2020 14:00,9.1,,,,81,,,,,, ,,,,,,,,,,,6.0,,,,,,
05.11.2020 13:00,8.1,,,,86,,,,,, ,,,,,,,,,,,5.9,,,,,,
05.11.2020 12:00,6.8,,,,93,,,,,, ,,,,,,,,,,,5.8,No precipitation,6,,,,
05.11.2020 11:00,5.8,,,,99,,,,,, ,,,,,,,,,,,5.6,,,,,,
05.11.2020 10:00,5.0,,,,99,,,,,, ,,,,,,,,,,,4.9,,,,,,
05.11.2020 09:00,4.1,,,,99,,,,,, ,,,,,,,,,,,3.9,,,,,,
05.11.2020 08:00,3.5,,,,99,,,,,, ,,,,,,,,,,,3.3,,,,,,
05.11.2020 07:00,3.5,,,,98,,,,,, ,,,,,,,,,,,3.2,,,,,,
05.11.2020 06:00,3.0,,,,98,,,,,, ,,,2.9,,,,,,,,2.7,No precipitation,12,,,,
05.11.2020 05:00,3.7,,,,98,,,,,, ,,,,,,,,,,,3.4,,,,,,
05.11.2020 04:00,3.3,,,,98,,,,,, ,,,,,,,,,,,3.0,,,,,,
05.11.2020 03:00,3.5,,,,97,,,,,, ,,,,,,,,,,,3.1,,,,,,
05.11.2020 02:00,3.8,,,,97,,,,,, ,,,,,,,,,,,3.3,,,,,,
05.11.2020 01:00,4.2,,,,97,,,,,, ,,,,,,,,,,,3.7,,,,,,
04.11.2020 23:00,4.7,,,,95,,,,,, ,,,,,,,,,,,4.0,,,,,,
04.11.2020 22:00,5.7,,,,95,,,,,, ,,,,,,,,,,,4.9,,,,,,
04.11.2020 21:00,5.8,,,,94,,,,,, ,,,,,,,,,,,4.9,,,,,,
04.11.2020 20:00,6.2,,,,93,,,,,, ,,,,,,,,,,,5.2,,,,,,
04.11.2020 19:00,6.4,,,,90,,,,,, ,,,,,,,,,,,4.9,,,,,,
04.11.2020 18:00,7.4,,,,82,,,,,, ,,,,12.0,,,,,,,4.5,0.2,12,,,,
04.11.2020 17:00,9.8,,,,72,,,,,, ,,,,,,,,,,,4.9,,,,,,
04.11.2020 16:00,10.7,,,,63,,,,,, ,,,,,,,,,,,3.8,,,,,,
04.11.2020 15:00,11.4,,,,59,,,,,, ,,,,,,,,,,,3.5,,,,,,
04.11.2020 14:00,11.4,,,,59,,,,,, ,,,,,,,,,,,3.7,,,,,,
04.11.2020 13:00,11.3,,,,60,,,,,, ,,,,,,,,,,,3.7,,,,,,
