# Weather station Hereford, UK, WMO_ID=3522,selection from 03.02.2020 till 20.11.2020, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=3522&lang=en
#
"Local time in Hereford";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"19.11.2020 23:00";"2.8";"770.1";"777.4";"0.6";"93";"Wind blowing from the south-southwest";"1";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"11.0";"1.8";"";"";"";"";"";"";
"19.11.2020 22:00";"3.4";"770.3";"777.6";"1.4";"91";"Wind blowing from the west-northwest";"2";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"17.0";"2.1";"";"";"";"";"";"";
"19.11.2020 21:00";"3.1";"770.2";"777.4";"1.6";"94";"Wind blowing from the west-northwest";"2";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"18.0";"2.2";"";"";"";"";"";"";
"19.11.2020 20:00";"2.4";"769.5";"776.8";"0.9";"93";"Wind blowing from the west-northwest";"2";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"17.0";"1.3";"";"";"";"";"";"";
"19.11.2020 19:00";"3.1";"768.9";"776.1";"0.6";"87";"Wind blowing from the west-northwest";"2";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"16.0";"1.1";"";"";"";"";"";"";
"19.11.2020 18:00";"4.8";"768.6";"775.8";"1.1";"82";"Wind blowing from the west-southwest";"1";"";"";"";" ";"";"";"";"9.6";"";"";"2500 or more, or no clouds.";"";"";"25.0";"2.0";"Trace of precipitation";"12";"";"";"";"";
"19.11.2020 17:00";"5.4";"768.6";"775.8";"2.4";"80";"Wind blowing from the west";"2";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"20.0";"2.1";"";"";"";"";"";"";
"19.11.2020 16:00";"7.6";"768.3";"775.4";"1.5";"69";"Wind blowing from the west";"4";"";"";"";" ";"";"";"";"";"";"";"1500-2000";"";"";"22.0";"2.3";"";"";"";"";"";"";
"19.11.2020 15:00";"8.6";"767.5";"774.5";"1.3";"67";"Wind blowing from the west";"6";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"26.0";"2.7";"";"";"";"";"";"";
"19.11.2020 14:00";"8.9";"766.2";"773.2";"1.1";"68";"Wind blowing from the north-northwest";"1";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"24.0";"3.2";"";"";"";"";"";"";
"19.11.2020 13:00";"9.3";"766.8";"773.9";"3.3";"64";"Wind blowing from the west-northwest";"6";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"1000-1500";"";"";"23.0";"2.8";"";"";"";"";"";"";
"19.11.2020 12:00";"8.5";"766.2";"773.3";"3.9";"75";"Wind blowing from the north-west";"2";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"26.0";"4.3";"Trace of precipitation";"6";"";"";"";"";
"19.11.2020 11:00";"7.3";"765.1";"772.2";"4.4";"76";"Wind blowing from the north";"4";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"600-1000";"";"";"26.0";"3.3";"";"";"";"";"";"";
"19.11.2020 10:00";"8.2";"763.5";"770.5";"4.3";"74";"Wind blowing from the west-northwest";"4";"";"";"";"Rain shower(s) or intermittent rain, slight. ";"";"";"";"";"";"";"600-1000";"";"";"27.0";"3.8";"";"";"";"";"";"";
"19.11.2020 09:00";"8.8";"762.3";"769.3";"4.9";"74";"Wind blowing from the west-northwest";"4";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"26.0";"4.4";"";"";"";"";"";"";
"19.11.2020 08:00";"9.0";"760.7";"767.7";"4.0";"72";"Wind blowing from the west";"4";"";"";"";" ";"";"";"";"";"";"";"600-1000";"";"";"22.0";"4.2";"";"";"";"";"";"";
"19.11.2020 07:00";"9.5";"759.2";"766.2";"2.7";"73";"Wind blowing from the west-northwest";"6";"12";"13";"";" ";"";"";"";"";"";"";"600-1000";"";"";"23.0";"4.8";"";"";"";"";"";"";
"19.11.2020 06:00";"8.8";"757.4";"764.5";"2.1";"79";"Wind blowing from the west";"6";"";"17";"";" ";"";"";"8.3";"";"";"";"600-1000";"";"";"26.0";"5.3";"Trace of precipitation";"12";"";"";"";"";
"19.11.2020 05:00";"8.5";"756.7";"763.7";"2.1";"78";"Wind blowing from the west";"10";"17";"18";"";" ";"";"";"";"";"";"";"600-1000";"";"";"25.0";"4.8";"";"";"";"";"";"";
"19.11.2020 04:00";"8.6";"756.5";"763.6";"1.9";"75";"Wind blowing from the west";"9";"17";"17";"";" ";"";"";"";"";"";"";"600-1000";"";"";"22.0";"4.4";"";"";"";"";"";"";
"19.11.2020 03:00";"8.4";"755.3";"762.3";"0.7";"76";"Wind blowing from the west";"9";"15";"19";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"24.0";"4.4";"";"";"";"";"";"";
