# Weather station Glasgow (AWS), UK, WMO_ID=3134,selection from 28.02.2020 till 11.11.2020, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=3134&lang=en
#
"Local time in Glasgow (AWS)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"10.11.2020 23:00";"10.2";"756.5";"761.9";"-0.7";"87";"Wind blowing from the south";"4";"";"";"";" ";"";"";"";"";"";"";"600-1000";"";"";"50.0";"8.1";"";"";"";"";"";"";
"10.11.2020 22:00";"9.9";"756.7";"762.1";"-0.5";"92";"Wind blowing from the south-east";"5";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"45.0";"8.6";"";"";"";"";"";"";
"10.11.2020 21:00";"10.3";"757.2";"762.6";"0.0";"91";"Wind blowing from the south";"5";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"60.0";"8.9";"";"";"";"";"";"";
"10.11.2020 20:00";"10.2";"757.2";"762.6";"-0.1";"95";"Wind blowing from the south";"4";"";"";"";"Drizzle (not freezing) or snow grains. ";"";"";"";"";"";"";"300-600";"";"";"60.0";"9.5";"";"";"";"";"";"";
"10.11.2020 19:00";"10.3";"757.2";"762.6";"-0.1";"97";"Wind blowing from the south";"4";"";"";"";"Drizzle (not freezing) or snow grains. ";"";"";"";"";"";"";"300-600";"";"";"60.0";"9.8";"";"";"";"";"";"";
"10.11.2020 18:00";"10.4";"757.2";"762.6";"-0.4";"97";"Wind blowing from the south";"5";"";"";"";"Drizzle (not freezing) or snow grains. ";"";"";"";"11.6";"";"";"200-300";"";"";"50.0";"9.9";"1.0";"12";"";"";"";"";
"10.11.2020 17:00";"11.4";"757.3";"762.7";"-0.7";"89";"Wind blowing from the south";"5";"";"";"";"Drizzle (not freezing) or snow grains. ";"";"";"";"";"";"";"300-600";"";"";"35.0";"9.7";"";"";"";"";"";"";
"10.11.2020 16:00";"11.4";"757.3";"762.7";"-1.0";"92";"Wind blowing from the south-southeast";"4";"";"";"";"Drizzle (not freezing) or snow grains. ";"";"";"";"";"";"";"300-600";"";"";"50.0";"10.2";"";"";"";"";"";"";
"10.11.2020 15:00";"11.6";"757.6";"763.0";"-1.1";"96";"Wind blowing from the south";"3";"";"";"";"Drizzle (not freezing) or snow grains. ";"";"";"";"";"";"";"300-600";"";"";"17.0";"11.0";"";"";"";"";"";"";
"10.11.2020 14:00";"11.4";"758.0";"763.4";"-0.8";"99";"Wind blowing from the south-east";"3";"";"";"";"Drizzle (not freezing) or snow grains. ";"";"";"";"";"";"";"300-600";"";"";"9.0";"11.2";"";"";"";"";"";"";
"10.11.2020 13:00";"10.9";"758.3";"763.7";"-0.8";"99";"Wind blowing from the south-southeast";"2";"";"";"";"Drizzle, not freezing, slight. ";"";"";"";"";"";"";"300-600";"";"";"3.2";"10.7";"";"";"";"";"";"";
"10.11.2020 12:00";"10.6";"758.7";"764.1";"-0.4";"99";"Wind blowing from the south-east";"3";"";"";"";"Drizzle, not freezing, slight. ";"";"";"";"";"";"";"100-200";"";"";"5.0";"10.4";"0.6";"6";"";"";"";"";
"10.11.2020 11:00";"10.1";"758.8";"764.2";"-0.5";"100";"Wind blowing from the south-east";"3";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"100-200";"";"";"4.5";"10.1";"";"";"";"";"";"";
"10.11.2020 10:00";"9.1";"759.1";"764.6";"0.3";"99";"Wind blowing from the south";"2";"";"";"";"Rain, not freezing, moderate. ";"";"";"";"";"";"";"50-100";"";"";"0.3";"9.0";"";"";"";"";"";"";
"10.11.2020 09:00";"9.3";"759.1";"764.6";"0.1";"100";"Wind blowing from the east-southeast";"3";"";"";"";"Drizzle (not freezing) or snow grains. ";"";"";"";"";"";"";"50-100";"";"";"2.5";"9.3";"";"";"";"";"";"";
"10.11.2020 08:00";"8.8";"759.3";"764.7";"0.3";"99";"Wind blowing from the south";"2";"";"";"";"Fog or ice fog, has become thinner during the past hour. ";"";"";"";"";"";"";"";"";"";"1.2";"8.7";"";"";"";"";"";"";
"10.11.2020 07:00";"8.8";"758.8";"764.3";"-0.3";"100";"Wind blowing from the south-southeast";"2";"";"";"";"Rain, not freezing, slight. ";"";"";"";"";"";"";"";"";"";"0.3";"8.8";"";"";"";"";"";"";
"10.11.2020 06:00";"9.2";"759.0";"764.5";"-0.1";"100";"Wind blowing from the south-southeast";"3";"";"";"";"Fog or ice fog, no appreciable change during the past hour. ";"";"";"9.0";"";"";"";"";"";"";"0.1";"9.2";"No precipitation";"12";"";"";"";"";
"10.11.2020 05:00";"9.3";"759.0";"764.4";"-0.1";"99";"Wind blowing from the east-southeast";"2";"";"";"";"Fog or ice fog, has become thinner during the past hour. ";"";"";"";"";"";"";"";"";"";"0.2";"9.2";"";"";"";"";"";"";
"10.11.2020 04:00";"9.3";"759.1";"764.6";"0.0";"100";"Wind blowing from the east-southeast";"2";"";"";"";"Fog or ice fog, no appreciable change during the past hour. ";"";"";"";"";"";"";"";"";"";"0.1";"9.3";"";"";"";"";"";"";
"10.11.2020 03:00";"9.4";"759.1";"764.5";"0.0";"99";"Wind blowing from the south-east";"2";"";"";"";"Fog or ice fog, has begun or become thicker during the past hour. ";"";"";"";"";"";"";"";"";"";"0.1";"9.3";"";"";"";"";"";"";
"10.11.2020 02:00";"9.2";"759.1";"764.5";"0.0";"99";"Wind blowing from the south-southeast";"2";"";"";"";"Fog or ice fog, has begun or become thicker during the past hour. ";"";"";"";"";"";"";"Less than  50";"";"";"0.6";"9.1";"";"";"";"";"";"";
"10.11.2020 01:00";"9.8";"759.1";"764.5";"0.3";"98";"Wind blowing from the south-southeast";"2";"";"";"";"Mist. ";"";"";"";"";"";"";"600-1000";"";"";"3.0";"9.5";"";"";"";"";"";"";
"10.11.2020 00:00";"10.2";"759.1";"764.5";"0.2";"97";"Wind blowing from the south-east";"2";"";"";"";"Mist. ";"";"";"";"";"";"";"600-1000";"";"";"4.2";"9.7";"No precipitation";"6";"";"";"";"";
"09.11.2020 23:00";"10.3";"759.1";"764.6";"0.4";"97";"Wind blowing from the south-east";"2";"";"";"";"Mist. ";"";"";"";"";"";"";"100-200";"";"";"6.0";"9.8";"";"";"";"";"";"";
"09.11.2020 22:00";"10.5";"758.8";"764.2";"0.0";"97";"Wind blowing from the east-southeast";"3";"";"";"";"Mist. ";"";"";"";"";"";"";"100-200";"";"";"6.0";"10.0";"";"";"";"";"";"";
"09.11.2020 21:00";"10.6";"758.9";"764.3";"0.5";"97";"Wind blowing from the south-east";"3";"";"";"";"Mist. ";"";"";"";"";"";"";"100-200";"";"";"5.0";"10.1";"";"";"";"";"";"";
"09.11.2020 20:00";"10.6";"758.7";"764.1";"0.7";"97";"Wind blowing from the south-east";"4";"";"";"";"Mist. ";"";"";"";"";"";"";"100-200";"";"";"3.9";"10.2";"";"";"";"";"";"";
"09.11.2020 19:00";"10.7";"758.8";"764.2";"0.9";"97";"Wind blowing from the south-east";"3";"";"";"";"Mist. ";"";"";"";"";"";"";"100-200";"";"";"4.4";"10.2";"";"";"";"";"";"";
