"# Weather station Shoreham-by-Sea (airport), UK, WMO_ID=3876,selection from 05.02.2020 till 11.11.2020, all days",,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Encoding: UTF-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The data is provided by the website ""Reliable Prognosis"", rp5.ru",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# If you use the data, please indicate the name of the website.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=3876&lang=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local time in Shoreham-by-Sea (airport),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
10.11.2020 23:00,9.5,768.5,768.7,-0.2,100,Wind blowing from the east,1,,,, ,,,,,,,,,,,9.5,,,,,,
10.11.2020 22:00,9.9,768.8,769.0,0.1,100,Wind blowing from the south-southeast,1,,,, ,,,,,,,,,,,9.9,,,,,,
10.11.2020 21:00,10.0,768.8,769.0,0.3,100,Wind blowing from the east-southeast,1,,,, ,,,,,,,,,,,10.0,,,,,,
10.11.2020 20:00,10.6,768.7,769.0,0.3,100,Wind blowing from the south-west,1,,,, ,,,,,,,,,,,10.6,,,,,,
10.11.2020 19:00,10.0,768.7,768.9,0.5,99,Wind blowing from the west,2,,,, ,,,,,,,,,,,9.8,,,,,,
10.11.2020 18:00,10.4,768.5,768.7,0.6,97,Wind blowing from the south,2,,,, ,,,,15.4,,,,,,,10.0,0.2,12,,,,
10.11.2020 17:00,10.9,768.4,768.6,0.5,97,Wind blowing from the south-southwest,2,,,, ,,,,,,,,,,,10.4,,,,,,
10.11.2020 16:00,12.7,768.2,768.4,0.4,90,Wind blowing from the south-west,3,,,, ,,,,,,,,,,,11.1,,,,,,
10.11.2020 15:00,13.1,767.9,768.1,0.0,93,Wind blowing from the south-west,4,,,, ,,,,,,,,,,,12.0,,,,,,
10.11.2020 14:00,13.9,767.9,768.1,-0.2,94,Wind blowing from the south-southwest,3,,,, ,,,,,,,,,,,12.9,,,,,,
10.11.2020 13:00,14.3,767.8,768.1,-0.2,89,Wind blowing from the south,3,,,, ,,,,,,,,,,,12.5,,,,,,
10.11.2020 12:00,15.2,767.9,768.1,0.3,89,Wind blowing from the south,2,,,, ,,,,,,,,,,,13.3,0.2,6,,,,
10.11.2020 11:00,13.2,768.1,768.3,0.8,98,Wind blowing from the south-southwest,4,,,, ,,,,,,,,,,,12.9,,,,,,
10.11.2020 10:00,13.1,768.0,768.1,1.1,100,Wind blowing from the south-southwest,3,,,, ,,,,,,,,,,,13.1,,,,,,
10.11.2020 09:00,9.5,767.6,767.8,1.1,100,Wind blowing from the south-east,1,,,, ,,,,,,,,,,,9.5,,,,,,
10.11.2020 08:00,9.6,767.3,767.5,1.0,100,Wind blowing from the east-northeast,1,,,, ,,,,,,,,,,,9.6,,,,,,
10.11.2020 07:00,9.6,766.9,767.1,0.9,100,Wind blowing from the south-west,1,,,, ,,,,,,,,,,,9.6,,,,,,
10.11.2020 06:00,10.4,766.5,766.7,0.6,100,Wind blowing from the east,1,,,, ,,,9.4,,,,,,,,10.4,2,12,,,,
10.11.2020 05:00,9.4,766.3,766.6,0.4,99,"Calm, no wind",0,,,, ,,,,,,,,,,,9.3,,,,,,
10.11.2020 04:00,9.9,766.0,766.3,0.0,99,Wind blowing from the south-southeast,1,,,, ,,,,,,,,,,,9.7,,,,,,
10.11.2020 03:00,10.8,765.9,766.1,-0.1,99,Wind blowing from the west-southwest,2,,,, ,,,,,,,,,,,10.7,,,,,,
10.11.2020 02:00,11.4,765.9,766.1,0.2,97,Wind blowing from the south-southeast,1,,,, ,,,,,,,,,,,10.9,,,,,,
