# Weather station St. Athan (airport), UK, WMO_ID=3716,selection from 18.01.2021 till 29.01.2021, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=3716&lang=en
#
"Local time in St. Athan (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"28.01.2021 23:00";"9.4";"743.5";"748.0";"-0.6";"99";"Wind blowing from the west";"7";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"100-200";"";"";"4.0";"9.2";"";"";"";"";"";"";
"28.01.2021 22:00";"9.6";"743.4";"747.8";"-1.3";"99";"Wind blowing from the west";"8";"";"";"";"Drizzle, not freezing, slight. ";"";"";"";"";"";"";"50-100";"";"";"3.5";"9.5";"";"";"";"";"";"";
"28.01.2021 21:00";"10.0";"743.4";"747.8";"-1.9";"99";"Wind blowing from the west";"8";"";"";"";"Rain, not freezing, slight. ";"";"";"";"";"";"";"100-200";"";"";"5.0";"9.8";"";"";"";"";"";"";
"28.01.2021 20:00";"9.9";"744.1";"748.5";"-2.1";"99";"Wind blowing from the west-southwest";"3";"";"";"";"Rain, not freezing, heavy. ";"";"";"";"";"";"";"100-200";"";"";"2.0";"9.8";"";"";"";"";"";"";
"28.01.2021 19:00";"10.0";"744.7";"749.2";"-2.4";"97";"Wind blowing from the south-west";"4";"";"";"";"Rain shower(s) or intermittent rain, violent. ";"";"";"";"";"";"";"100-200";"";"";"0.8";"9.6";"";"";"";"";"";"";
"28.01.2021 18:00";"10.0";"745.3";"749.8";"-2.1";"98";"Wind blowing from the west-southwest";"6";"";"";"";"Rain (not freezing). ";"";"";"";"10.6";"";"";"200-300";"";"";"16.0";"9.7";"0.4";"12";"";"";"";"";
"28.01.2021 17:00";"10.0";"746.2";"750.6";"-1.8";"98";"Wind blowing from the west-southwest";"6";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"300-600";"";"";"12.0";"9.7";"";"";"";"";"";"";
"28.01.2021 16:00";"10.0";"747.1";"751.5";"-1.2";"97";"Wind blowing from the west";"7";"";"";"";"Mist. ";"";"";"";"";"";"";"100-200";"";"";"7.0";"9.5";"";"";"";"";"";"";
"28.01.2021 15:00";"10.2";"747.4";"751.9";"-1.1";"96";"Wind blowing from the west";"8";"";"";"";"Mist. ";"";"";"";"";"";"";"200-300";"";"";"8.0";"9.6";"";"";"";"";"";"";
"28.01.2021 14:00";"10.1";"748.0";"752.4";"-0.8";"99";"Wind blowing from the west";"9";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"50-100";"";"";"4.8";"10.0";"";"";"";"";"";"";
