# Weather station Mumbles, UK, WMO_ID=3609,selection from 03.02.2020 till 20.11.2020, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=3609&lang=en
#
"Local time in Mumbles";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"19.11.2020 23:00";"7.3";"773.9";"778.0";"0.6";"73";"Wind blowing from the west";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.8";"";"";"";"";"";"";
"19.11.2020 22:00";"7.1";"774.0";"778.0";"1.3";"75";"Wind blowing from the north-west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.9";"";"";"";"";"";"";
"19.11.2020 21:00";"7.2";"773.7";"777.7";"0.9";"74";"Wind blowing from the west-northwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.8";"";"";"";"";"";"";
"19.11.2020 20:00";"7.8";"773.3";"777.4";"0.6";"70";"Wind blowing from the west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.7";"";"";"";"";"";"";
"19.11.2020 19:00";"7.5";"772.7";"776.8";"0.2";"74";"Wind blowing from the west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.1";"";"";"";"";"";"";
"19.11.2020 18:00";"7.2";"772.8";"776.8";"1.2";"76";"Wind blowing from the west";"3";"";"";"";" ";"";"";"";"10.8";"";"";"";"";"";"";"3.2";"No precipitation";"12";"";"";"";"";
"19.11.2020 17:00";"7.8";"772.7";"776.8";"1.6";"74";"Wind blowing from the west";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.4";"";"";"";"";"";"";
"19.11.2020 16:00";"8.3";"772.5";"776.5";"1.9";"70";"Wind blowing from the west-northwest";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.1";"";"";"";"";"";"";
"19.11.2020 15:00";"9.8";"771.6";"775.6";"1.0";"62";"Wind blowing from the west-northwest";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.8";"";"";"";"";"";"";
"19.11.2020 14:00";"9.9";"771.1";"775.0";"1.2";"63";"Wind blowing from the west-northwest";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.1";"";"";"";"";"";"";
"19.11.2020 13:00";"10.2";"770.6";"774.6";"2.3";"63";"Wind blowing from the west-northwest";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.4";"";"";"";"";"";"";
"19.11.2020 12:00";"10.0";"770.6";"774.6";"3.4";"66";"Wind blowing from the west-northwest";"9";"14";"14";"";" ";"";"";"";"";"";"";"";"";"";"";"3.9";"No precipitation";"6";"";"";"";"";
"19.11.2020 11:00";"9.5";"769.9";"773.8";"3.9";"70";"Wind blowing from the west-northwest";"7";"13";"13";"";" ";"";"";"";"";"";"";"";"";"";"";"4.3";"";"";"";"";"";"";
"19.11.2020 10:00";"9.1";"768.3";"772.3";"3.6";"74";"Wind blowing from the west-northwest";"9";"";"13";"";" ";"";"";"";"";"";"";"";"";"";"";"4.7";"";"";"";"";"";"";
"19.11.2020 09:00";"8.9";"767.2";"771.2";"3.3";"75";"Wind blowing from the west-northwest";"9";"14";"14";"";" ";"";"";"";"";"";"";"";"";"";"";"4.7";"";"";"";"";"";"";
"19.11.2020 08:00";"8.6";"766.0";"770.1";"2.9";"76";"Wind blowing from the west-northwest";"9";"15";"15";"";" ";"";"";"";"";"";"";"";"";"";"";"4.6";"";"";"";"";"";"";
"19.11.2020 07:00";"8.9";"764.7";"768.7";"1.7";"75";"Wind blowing from the west-northwest";"8";"15";"17";"";" ";"";"";"";"";"";"";"";"";"";"";"4.6";"";"";"";"";"";"";
"19.11.2020 06:00";"9.1";"763.9";"767.9";"1.7";"72";"Wind blowing from the west-northwest";"9";"15";"15";"";" ";"";"";"8.9";"";"";"";"";"";"";"";"4.3";"0.2";"12";"";"";"";"";
"19.11.2020 05:00";"9.2";"763.1";"767.1";"1.7";"70";"Wind blowing from the west";"9";"16";"18";"";" ";"";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";
"19.11.2020 04:00";"9.6";"763.0";"766.9";"2.7";"69";"Wind blowing from the west";"9";"16";"16";"";" ";"";"";"";"";"";"";"";"";"";"";"4.1";"";"";"";"";"";"";
