# Weather station Cardiff (airport), UK, METAR=EGFF,selection from 27.02.2020 till 11.11.2020, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/metar.php?metar=EGFF&lang=en
#
"Local time in Cardiff (airport)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"10.11.2020 23:50";"11.0";"760.5";"766.6";"94";"Wind blowing from the south-southeast";"4";"";"";"";"Scattered clouds (40-50%) 1110 m";"10.0 and more";"10.0";
"10.11.2020 23:20";"11.0";"760.5";"766.6";"94";"Wind blowing from the south";"3";"";"";"";"Scattered clouds (40-50%) 510 m, broken clouds (60-90%) 840 m, overcast (100%) 960 m";"10.0 and more";"10.0";
"10.11.2020 22:50";"11.0";"761.1";"767.3";"94";"Wind blowing from the south";"3";"";"";"";"Few clouds (10-30%) 600 m, scattered clouds (40-50%) 750 m, broken clouds (60-90%) 960 m";"10.0 and more";"10.0";
"10.11.2020 22:20";"11.0";"761.1";"767.3";"94";"Wind blowing from the south";"3";"";"";"";"Broken clouds (60-90%) 1110 m";"10.0 and more";"10.0";
"10.11.2020 21:50";"11.0";"761.1";"767.3";"88";"Wind blowing from the south";"3";"";"";"";"Broken clouds (60-90%) 1110 m";"10.0 and more";"9.0";
"10.11.2020 21:20";"11.0";"761.1";"767.3";"88";"Wind blowing from the south-southeast";"3";"";"";"";"Broken clouds (60-90%) 960 m";"10.0 and more";"9.0";
"10.11.2020 20:50";"11.0";"761.1";"767.3";"88";"Wind blowing from the south";"2";"";"";"";"Few clouds (10-30%) 1020 m";"10.0 and more";"9.0";
"10.11.2020 20:20";"11.0";"761.1";"767.3";"88";"Wind blowing from the south";"2";"";"";"";"Few clouds (10-30%) 1170 m";"10.0 and more";"9.0";
"10.11.2020 19:50";"11.0";"761.1";"767.3";"88";"Wind blowing from the south-west";"3";"";"";"";"Overcast (100%) 1080 m";"10.0 and more";"9.0";
"10.11.2020 19:20";"11.0";"761.1";"767.3";"94";"Wind blowing from the south-southwest";"3";"";"";"";"Broken clouds (60-90%) 1050 m, overcast (100%) 1230 m";"10.0 and more";"10.0";
"10.11.2020 18:50";"11.0";"761.1";"767.3";"94";"Wind blowing from the south-east";"2";"";"";"";"Few clouds (10-30%) 690 m, overcast (100%) 1200 m";"10.0 and more";"10.0";
"10.11.2020 18:20";"11.0";"761.1";"767.3";"94";"Wind blowing from the south";"1";"";"";"";"Broken clouds (60-90%) 630 m, overcast (100%) 1200 m";"10.0 and more";"10.0";
"10.11.2020 17:50";"12.0";"761.2";"767.3";"88";"Wind blowing from the south";"1";"";"";"";"Broken clouds (60-90%) 720 m, overcast (100%) 1110 m";"10.0 and more";"10.0";
"10.11.2020 17:20";"12.0";"761.2";"767.3";"88";"Wind blowing from the south-southeast";"1";"";"Light rain";"";"Scattered clouds (40-50%) 690 m, broken clouds (60-90%) 930 m, overcast (100%) 1200 m";"10.0 and more";"10.0";
"10.11.2020 16:50";"12.0";"761.2";"767.3";"88";"Wind blowing from the west-northwest";"1";"";"";"";"Broken clouds (60-90%) 750 m, broken clouds (60-90%) 1440 m";"10.0 and more";"10.0";
"10.11.2020 16:20";"12.0";"761.2";"767.3";"88";"Wind blowing from the west";"1";"";"";"";"Scattered clouds (40-50%) 840 m, overcast (100%) 1290 m";"10.0 and more";"10.0";
"10.11.2020 15:50";"12.0";"761.2";"767.3";"88";"Wind blowing from the west";"2";"";"";"";"Broken clouds (60-90%) 870 m, broken clouds (60-90%) 1230 m";"10.0 and more";"10.0";
"10.11.2020 15:20";"12.0";"760.5";"766.6";"82";"Wind blowing from the west";"2";"";"";"";"No Significant Clouds";"10.0 and more";"9.0";
"10.11.2020 14:50";"12.0";"760.5";"766.6";"88";"Wind blowing from the west";"3";"";"";"";"Broken clouds (60-90%) 1110 m";"10.0 and more";"10.0";
"10.11.2020 14:20";"12.0";"761.2";"767.3";"88";"Wind blowing from the west";"3";"";"";"";"Broken clouds (60-90%) 630 m, overcast (100%) 1230 m";"10.0 and more";"10.0";
"10.11.2020 13:50";"12.0";"761.2";"767.3";"88";"Wind blowing from the west";"3";"";"";"";"Scattered clouds (40-50%) 720 m, broken clouds (60-90%) 1170 m";"10.0 and more";"10.0";
"10.11.2020 13:20";"13.0";"761.2";"767.3";"82";"Wind blowing from the west-southwest";"3";"";"";"";"Few clouds (10-30%) 390 m, scattered clouds (40-50%) 690 m, broken clouds (60-90%) 1320 m";"10.0 and more";"10.0";
"10.11.2020 12:50";"13.0";"761.2";"767.3";"82";"Wind blowing from the south-southwest";"2";"";"";"";"Few clouds (10-30%) 810 m, broken clouds (60-90%) 1020 m";"10.0 and more";"10.0";
"10.11.2020 12:20";"13.0";"761.2";"767.3";"82";"Wind blowing from the south-southwest";"3";"";"";"";"Scattered clouds (40-50%) 870 m";"10.0 and more";"10.0";
"10.11.2020 11:50";"13.0";"761.2";"767.3";"82";"Wind blowing from the south-west";"2";"";"";"";"No Significant Clouds";"10.0 and more";"10.0";
"10.11.2020 11:20";"13.0";"761.2";"767.3";"82";"Wind blowing from the south-west";"3";"";"";"";"Few clouds (10-30%) 870 m";"10.0 and more";"10.0";
"10.11.2020 10:50";"12.0";"761.2";"767.3";"94";"Wind blowing from the south-west";"3";"";"";"";"Few clouds (10-30%) 540 m";"10.0 and more";"11.0";
"10.11.2020 10:20";"12.0";"761.2";"767.3";"94";"variable wind direction";"2";"";"";"";"Broken clouds (60-90%) 540 m";"10.0 and more";"11.0";
"10.11.2020 09:50";"12.0";"760.5";"766.6";"88";"Wind blowing from the south-west";"2";"";"";"";"Few clouds (10-30%) 570 m";"10.0 and more";"10.0";
"10.11.2020 09:20";"12.0";"760.5";"766.6";"94";"Wind blowing from the west-southwest";"3";"";"";"";"Scattered clouds (40-50%) 510 m, scattered clouds (40-50%) 660 m, broken clouds (60-90%) 780 m";"10.0 and more";"11.0";
"10.11.2020 08:50";"12.0";"760.5";"766.6";"94";"Wind blowing from the west-southwest";"3";"";"";"";"Scattered clouds (40-50%) 810 m";"10.0 and more";"11.0";
"10.11.2020 08:20";"12.0";"760.5";"766.6";"94";"Wind blowing from the west-southwest";"2";"";"";"";"Few clouds (10-30%) 540 m";"10.0 and more";"11.0";
"10.11.2020 07:50";"11.0";"760.5";"766.6";"100";"Wind blowing from the west-southwest";"2";"";"";"";"Scattered clouds (40-50%) 510 m, broken clouds (60-90%) 840 m";"10.0 and more";"11.0";
"10.11.2020 07:20";"11.0";"759.7";"765.8";"100";"Wind blowing from the west";"3";"";"";"";"Few clouds (10-30%) 510 m, broken clouds (60-90%) 840 m";"10.0 and more";"11.0";
"10.11.2020 06:50";"12.0";"759.7";"765.8";"94";"Wind blowing from the west";"3";"";"";"";"Scattered clouds (40-50%) 780 m";"10.0 and more";"11.0";
"10.11.2020 06:20";"11.0";"758.9";"765.0";"100";"Wind blowing from the west";"4";"";"";"";"Few clouds (10-30%) 570 m, scattered clouds (40-50%) 750 m";"10.0 and more";"11.0";
"10.11.2020 05:50";"12.0";"758.9";"765.0";"94";"Wind blowing from the west-southwest";"3";"";"";"";"Broken clouds (60-90%) 390 m, broken clouds (60-90%) 600 m, overcast (100%) 840 m";"10.0 and more";"11.0";
"10.11.2020 05:20";"12.0";"758.9";"765.0";"94";"Wind blowing from the west";"3";"";"";"";"Broken clouds (60-90%) 450 m";"10.0 and more";"11.0";
"10.11.2020 04:50";"12.0";"758.9";"765.0";"94";"Wind blowing from the west-southwest";"4";"";"";"";"Few clouds (10-30%) 330 m, broken clouds (60-90%) 480 m, broken clouds (60-90%) 630 m";"10.0 and more";"11.0";
