Local time in Sennybridge,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
19.11.2020 23:00,1.5,748.6,777.7,0.7,97,Wind blowing from the south,2,,,, ,,,,,,,1000-1500,,,30.0,1.1,,,,,,
19.11.2020 22:00,1.9,748.3,777.4,1.0,96,Wind blowing from the south-southwest,3,,,, ,,,,,,,2500 or more or no clouds.,,,30.0,1.3,,,,,,
19.11.2020 21:00,3.2,748.5,777.4,1.2,95,Wind blowing from the south-west,2,,,,Rain (not freezing). ,,,,,,,600-1000,,,35.0,2.5,,,,,,
19.11.2020 20:00,3.1,747.9,776.8,0.7,98,Wind blowing from the south-southwest,2,,,,Rain not freezing slight. ,,,,,,,1000-1500,,,25.0,2.8,,,,,,
19.11.2020 19:00,3.0,747.3,776.2,0.2,97,Wind blowing from the south-southwest,1,,,,Drizzle (not freezing) or snow grains. ,,,,,,,1000-1500,,,30.0,2.6,,,,,,
19.11.2020 18:00,3.5,747.3,776.1,0.7,93,Wind blowing from the south-west,1,,,,Rain (not freezing). ,,,,7.6,,,1000-1500,,,17.0,2.4,4.0,12,,,,
19.11.2020 17:00,4.4,747.2,775.9,1.5,86,Wind blowing from the north-west,1,,,, ,,,,,,,600-1000,,,45.0,2.3,,,,,,
19.11.2020 16:00,4.4,747.1,775.8,2.0,91,Wind blowing from the north-west,2,,,,Drizzle (not freezing) or snow grains. ,,,,,,,300-600,,,35.0,3.0,,,,,,
19.11.2020 15:00,5.2,746.6,775.3,1.3,90,Wind blowing from the north-west,1,,,,Rain (not freezing). ,,,,,,,300-600,,,45.0,3.7,,,,,,
19.11.2020 14:00,6.3,745.7,774.2,1.1,84,Wind blowing from the north-west,2,,,,Rain not freezing slight. ,,,,,,,300-600,,,17.0,3.7,,,,,,
19.11.2020 13:00,6.3,745.1,773.6,2.1,82,Wind blowing from the north-northwest,2,,,,Rain (not freezing). ,,,,,,,1000-1500,,,65.0,3.5,,,,,,
19.11.2020 12:00,6.5,745.3,773.7,3.4,87,Wind blowing from the north-northwest,3,,,,Rain (not freezing). ,,,,,,,300-600,,,50.0,4.5,3.0,6,,,,
19.11.2020 11:00,5.1,744.6,773.2,4.4,95,Wind blowing from the north-northwest,3,,,,Rain not freezing slight. ,,,,,,,300-600,,,27.0,4.3,,,,,,
19.11.2020 10:00,5.6,743.0,771.4,4.0,95,Wind blowing from the north-northwest,1,,,,Rain not freezing slight. ,,,,,,,300-600,,,26.0,4.8,,,,,,
19.11.2020 09:00,6.2,741.9,770.2,4.3,92,Wind blowing from the north-west,3,,,,Drizzle and rain slight. ,,,,,,,300-600,,,25.0,5.0,,,,,,
19.11.2020 08:00,6.1,740.2,768.5,2.8,93,Wind blowing from the north-west,4,,,,Rain not freezing moderate. ,,,,,,,300-600,,,2.6,5.0,,,,,,
19.11.2020 07:00,6.3,739.0,767.2,2.0,92,Wind blowing from the north-west,4,,,,Drizzle not freezing slight. ,,,,,,,300-600,,,30.0,5.1,,,,,,
19.11.2020 06:00,6.2,737.6,765.8,1.3,95,Wind blowing from the west-northwest,4,9,,,Rain (not freezing). ,,,5.2,,,,300-600,,,40.0,5.4,5.0,12,,,,
19.11.2020 05:00,5.8,737.4,765.6,1.7,97,Wind blowing from the west,4,9,13,,Drizzle and rain slight. ,,,,,,,200-300,,,4.3,5.4,,,,,,
19.11.2020 04:00,5.7,737.0,765.2,2.2,96,Wind blowing from the west,3,,,,Drizzle not freezing heavy. ,,,,,,,300-600,,,3.6,5.1,,,,,,
19.11.2020 03:00,6.0,736.3,764.5,1.9,95,Wind blowing from the west,3,9,,,Rain not freezing slight. ,,,,,,,300-600,,,4.7,5.2,,,,,,
19.11.2020 02:00,6.4,735.7,763.7,1.8,93,Wind blowing from the west,3,,13,,Drizzle not freezing slight. ,,,,,,,300-600,,,15.0,5.3,,,,,,
19.11.2020 01:00,6.3,734.8,762.9,0.9,96,Wind blowing from the west,3,9,14,,Rain not freezing slight. ,,,,,,,200-300,,,3.8,5.7,,,,,,
19.11.2020 00:00,1.7,748.4,777.5,14.8,96,Wind blowing from the south,3,,,, ,,,,,,,600-1000,,,30.0,1.1,Trace of precipitation,6,,,,
18.11.2020 23:00,6.7,733.9,762.0,0.6,90,Wind blowing from the west-southwest,8,,13,,Precipitation slight or moderate. ,,,,,,,300-600,,,15.0,5.1,,,,,,
18.11.2020 22:00,6.9,733.9,761.9,0.7,85,Wind blowing from the west-southwest,8,,,, ,,,,,,,300-600,,,25.0,4.5,,,,,,
18.11.2020 21:00,6.1,733.6,761.7,0.8,88,Wind blowing from the west-southwest,7,,13,,Drizzle (not freezing) or snow grains. ,,,,,,,300-600,,,20.0,4.2,,,,,,
18.11.2020 20:00,5.8,733.3,761.3,0.8,87,Wind blowing from the west-southwest,7,,,, ,,,,,,,600-1000,,,22.0,3.8,,,,,,
18.11.2020 19:00,5.4,733.2,761.2,1.1,88,Wind blowing from the west-southwest,6,,,, ,,,,,,,600-1000,,,23.0,3.6,,,,,,
18.11.2020 18:00,5.3,732.8,760.9,1.4,90,Wind blowing from the west-southwest,6,,,, ,,,,12.8,,,600-1000,,,24.0,3.7,6.0,12,,,,
18.11.2020 17:00,5.6,732.5,760.6,1.7,86,Wind blowing from the west-southwest,6,,,, ,,,,,,,600-1000,,,27.0,3.4,,,,,,
