Local time in Lake Vyrnwy,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
19.11.2020 23:00,2.9,742.6,776.5,0.3,84,Wind blowing from the west,4,,,, ,,,,,,,2500 or more or no clouds.,,,40.0,0.4,,,,,,
19.11.2020 22:00,3.4,742.6,776.2,1.1,84,Wind blowing from the west-southwest,4,,,, ,,,,,,,1000-1500,,,40.0,1.0,,,,,,
19.11.2020 21:00,3.1,742.6,776.4,1.2,87,Wind blowing from the west-southwest,3,,,, ,,,,,,,600-1000,,,45.0,1.1,,,,,,
19.11.2020 20:00,2.5,742.3,776.1,0.9,86,Wind blowing from the west-northwest,3,,,, ,,,,,,,2500 or more or no clouds.,,,50.0,0.4,,,,,,
19.11.2020 19:00,2.7,741.5,775.3,-0.1,88,Wind blowing from the west,4,,,, ,,,,,,,2500 or more or no clouds.,,,40.0,0.9,,,,,,
19.11.2020 18:00,2.8,741.4,775.1,0.3,86,Wind blowing from the west,3,,,, ,,,,6.8,,,2500 or more or no clouds.,,,45.0,0.6,3.0,12,,,,
19.11.2020 17:00,2.9,741.4,775.1,1.5,84,Wind blowing from the west-northwest,2,,,, ,,,,,,,2500 or more or no clouds.,,,60.0,0.4,,,,,,
19.11.2020 16:00,3.7,741.6,775.2,2.5,81,Wind blowing from the north-west,3,,,, ,,,,,,,1000-1500,,,60.0,0.7,,,,,,
19.11.2020 15:00,5.5,741.1,774.4,1.4,75,Wind blowing from the west,4,,,, ,,,,,,,600-1000,,,45.0,1.3,,,,,,
19.11.2020 14:00,6.4,739.9,773.1,1.0,69,Wind blowing from the west,3,,,, ,,,,,,,600-1000,,,40.0,1.1,,,,,,
19.11.2020 13:00,5.4,739.1,772.4,1.9,77,Wind blowing from the north-west,4,,,, ,,,,,,,300-600,,,45.0,1.6,,,,,,
19.11.2020 12:00,6.2,739.7,773.0,3.7,85,Wind blowing from the west-northwest,3,,,, ,,,,,,,300-600,,,35.0,3.8,3.0,6,,,,
19.11.2020 11:00,4.1,738.9,772.3,4.6,89,Wind blowing from the north-west,5,,,, ,,,,,,,300-600,,,3.2,2.4,,,,,,
19.11.2020 10:00,4.8,737.2,770.6,4.2,91,Wind blowing from the north-northwest,2,,,, ,,,,,,,300-600,,,65.0,3.5,,,,,,
19.11.2020 09:00,4.4,736.0,769.3,4.6,93,Wind blowing from the north-west,5,,,, ,,,,,,,300-600,,,71.0,3.3,,,,,,
19.11.2020 08:00,5.1,734.3,767.5,4.0,92,Wind blowing from the west-northwest,4,,,, ,,,,,,,300-600,,,35.0,3.9,,,,,,
19.11.2020 07:00,5.5,733.0,766.1,3.9,91,Wind blowing from the west-northwest,4,,,, ,,,,,,,300-600,,,1.9,4.2,,,,,,
19.11.2020 06:00,5.8,731.4,764.3,2.7,91,Wind blowing from the west-northwest,4,,,, ,,,5.6,,,,300-600,,,70.0,4.4,7.0,12,,,,
19.11.2020 05:00,6.3,730.3,763.2,2.6,91,Wind blowing from the west,11,,,, ,,,,,,,600-1000,,,7.0,4.9,,,,,,
19.11.2020 04:00,6.3,729.1,761.9,2.3,95,Wind blowing from the west,12,,,, ,,,,,,,300-600,,,4.6,5.5,,,,,,
19.11.2020 03:00,5.8,728.7,761.5,2.8,93,Wind blowing from the west-southwest,12,,,, ,,,,,,,300-600,,,2.8,4.7,,,,,,
19.11.2020 02:00,5.8,727.7,760.5,2.0,90,Wind blowing from the west,13,,,, ,,,,,,,300-600,,,10.0,4.2,,,,,,
19.11.2020 01:00,6.3,726.8,759.4,1.0,93,Wind blowing from the west-southwest,13,,,, ,,,,,,,300-600,,,2.9,5.3,,,,,,
19.11.2020 00:00,2.4,742.6,776.4,16.7,89,Wind blowing from the south-southwest,2,,,, ,,,,,,,2500 or more or no clouds.,,,40.0,0.8,No precipitation,6,,,,
