Local time in Aberdaron,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
19.11.2020 23:00,8.2,767.5,776.4,0.0,76,Wind blowing from the west-southwest,8,,,, ,,,,,,,1000-1500,,,30.0,4.1,,,,,,
19.11.2020 22:00,7.9,767.8,776.8,0.5,72,Wind blowing from the west-southwest,8,,,, ,,,,,,,2500 or more or no clouds.,,,40.0,3.2,,,,,,
19.11.2020 21:00,7.3,767.9,776.8,1.1,70,Wind blowing from the west,5,,,, ,,,,,,,2500 or more or no clouds.,,,50.0,2.1,,,,,,
19.11.2020 20:00,7.7,767.5,776.5,0.5,70,Wind blowing from the west,7,,,, ,,,,,,,1000-1500,,,45.0,2.6,,,,,,
19.11.2020 19:00,7.2,767.3,776.2,0.3,65,Wind blowing from the west,7,,,, ,,,,,,,2500 or more or no clouds.,,,50.0,1.0,,,,,,
19.11.2020 18:00,7.3,766.8,775.7,0.4,65,Wind blowing from the west,7,,,, ,,,,8.9,,,1000-1500,,,50.0,1.0,0.2,12,,,,
19.11.2020 17:00,7.2,767.0,775.9,0.7,67,Wind blowing from the west-northwest,6,,,, ,,,,,,,1000-1500,,,45.0,1.5,,,,,,
19.11.2020 16:00,7.3,767.0,775.9,1.8,68,Wind blowing from the west-northwest,6,,,, ,,,,,,,1000-1500,,,45.0,1.7,,,,,,
19.11.2020 15:00,7.9,766.4,775.3,0.9,67,Wind blowing from the west-northwest,7,,,, ,,,,,,,600-1000,,,45.0,2.0,,,,,,
19.11.2020 14:00,8.3,766.3,775.1,1.3,70,Wind blowing from the west-northwest,9,,,, ,,,,,,,600-1000,,,35.0,3.0,,,,,,
19.11.2020 13:00,8.0,765.2,774.1,1.8,71,Wind blowing from the north-west,7,,,, ,,,,,,,600-1000,,,40.0,3.0,,,,,,
19.11.2020 12:00,8.4,765.5,774.4,3.4,73,Wind blowing from the north-west,10,,,, ,,,,,,,600-1000,,,35.0,3.8,0.2,6,,,,
19.11.2020 11:00,8.3,765.0,773.9,4.0,77,Wind blowing from the north-west,11,,,, ,,,,,,,600-1000,,,30.0,4.5,,,,,,
19.11.2020 10:00,8.6,763.4,772.3,3.7,73,Wind blowing from the north-west,10,,,, ,,,,,,,600-1000,,,45.0,4.0,,,,,,
19.11.2020 09:00,8.2,762.1,770.9,3.6,79,Wind blowing from the north-west,11,,,, ,,,,,,,600-1000,,,30.0,4.7,,,,,,
19.11.2020 08:00,8.1,761.0,769.8,3.9,82,Wind blowing from the north-west,14,,,, ,,,,,,,600-1000,,,30.0,5.1,,,,,,
