Local time in Bingley,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
20.12.2020 23:00,3.5,733.8,757.9,0.0,93,Wind blowing from the south-southwest,5,,,, ,,,,,,,2500 or more or no clouds.,,,19.0,2.4,,,,,,
20.12.2020 22:00,3.6,733.8,757.9,0.5,93,Wind blowing from the south-southwest,6,,,, ,,,,,,,2500 or more or no clouds.,,,17.0,2.6,,,,,,
20.12.2020 21:00,3.6,733.6,757.7,0.3,93,Wind blowing from the south-southwest,6,,,, ,,,,,,,2500 or more or no clouds.,,,18.0,2.6,,,,,,
20.12.2020 20:00,3.5,733.8,757.9,1.1,93,Wind blowing from the south-southwest,4,,,, ,,,,,,,2500 or more or no clouds.,,,18.0,2.5,,,,,,
20.12.2020 19:00,4.1,733.3,757.3,0.9,92,Wind blowing from the south-west,5,,,, ,,,,,,,300-600,,,20.0,2.9,,,,,,
20.12.2020 18:00,4.6,733.3,757.3,1.5,91,Wind blowing from the south-west,6,,,, ,,,,6.5,,,300-600,,,20.0,3.3,1.0,12,,,,
20.12.2020 17:00,4.8,732.7,756.7,1.2,91,Wind blowing from the south-west,5,,,,Rain (not freezing). ,,,,,,,300-600,,,35.0,3.5,,,,,,
20.12.2020 16:00,5.2,732.4,756.2,0.9,90,Wind blowing from the west-southwest,6,,,,Rain shower(s) or intermittent rain moderate. ,,,,,,,300-600,,,29.0,3.7,,,,,,
20.12.2020 15:00,5.2,731.8,755.7,0.5,88,Wind blowing from the south-southwest,6,,,, ,,,,,,,2500 or more or no clouds.,,,50.0,3.3,,,,,,
20.12.2020 14:00,5.7,731.5,755.3,0.2,90,Wind blowing from the south-west,7,,,,Rain (not freezing). ,,,,,,,200-300,,,17.0,4.2,,,,,,
20.12.2020 13:00,5.5,731.5,755.4,0.1,88,Wind blowing from the south-west,6,,,, ,,,,,,,300-600,,,45.0,3.7,,,,,,
20.12.2020 12:00,5.9,731.3,755.2,0.4,91,Wind blowing from the south-west,6,,13,,Rain (not freezing). ,,,,,,,200-300,,,30.0,4.6,Trace of precipitation,6,,,,
20.12.2020 11:00,5.3,731.3,755.2,1.0,93,Wind blowing from the south-west,6,,,,Drizzle not freezing slight. ,,,,,,,200-300,,,5.0,4.2,,,,,,
