Date,Temp,Humidity
19.11.2020,8.18,75.79
18.11.2020,11.88,78.79
17.11.2020,12.58,88.0
16.11.2020,11.49,82.58
15.11.2020,10.67,78.17
14.11.2020,12.5,87.25
13.11.2020,10.39,83.12
12.11.2020,11.19,80.33
11.11.2020,11.9,88.12
10.11.2020,11.45,91.54
09.11.2020,13.03,94.38
08.11.2020,12.0,94.54
07.11.2020,9.5,89.5
06.11.2020,7.12,81.79
05.11.2020,6.0,88.0
04.11.2020,6.3,83.42
03.11.2020,7.4,78.5
02.11.2020,12.12,75.71
01.11.2020,14.17,86.25
31.10.2020,13.03,80.33
30.10.2020,13.78,95.0
29.10.2020,13.29,87.04
28.10.2020,10.3,79.96
27.10.2020,11.11,82.08
26.10.2020,11.01,78.92
25.10.2020,10.27,78.79
24.10.2020,12.09,83.88
23.10.2020,11.18,82.12
22.10.2020,11.27,80.71
21.10.2020,13.47,97.08
20.10.2020,14.76,83.46
19.10.2020,11.14,85.48
18.10.2020,9.15,86.58
17.10.2020,9.23,85.5
16.10.2020,8.6,83.33
15.10.2020,8.95,76.38
14.10.2020,11.04,77.62
13.10.2020,9.79,80.96
12.10.2020,9.86,88.67
11.10.2020,11.03,77.46
10.10.2020,10.14,82.67
09.10.2020,10.11,79.33
08.10.2020,13.44,86.04
07.10.2020,12.44,83.83
06.10.2020,12.84,84.08
05.10.2020,12.15,89.5
04.10.2020,10.45,87.17
03.10.2020,11.8,85.54
02.10.2020,10.88,91.29
01.10.2020,10.44,85.62
30.09.2020,13.1,89.12
29.09.2020,13.67,79.08
28.09.2020,12.13,90.75
27.09.2020,11.31,71.12
26.09.2020,9.94,63.83
25.09.2020,10.27,69.21
24.09.2020,11.28,72.75
23.09.2020,13.15,84.75
22.09.2020,15.07,90.79
21.09.2020,16.32,76.25
20.09.2020,16.08,73.67
19.09.2020,16.37,69.79
18.09.2020,15.05,68.62
17.09.2020,16.25,69.54
16.09.2020,18.05,86.67
15.09.2020,18.14,77.92
14.09.2020,18.24,75.17
13.09.2020,16.71,81.42
12.09.2020,15.85,78.58
11.09.2020,14.88,74.5
10.09.2020,13.97,69.79
09.09.2020,16.05,82.29
08.09.2020,16.13,95.88
07.09.2020,14.51,90.62
06.09.2020,14.47,82.33
05.09.2020,13.7,77.88
04.09.2020,15.39,72.83
03.09.2020,16.65,88.92
02.09.2020,15.25,81.92
01.09.2020,14.4,75.33
31.08.2020,13.9,69.38
30.08.2020,13.21,65.17
29.08.2020,13.46,63.33
28.08.2020,14.14,85.0
27.08.2020,14.73,87.92
26.08.2020,16.18,77.42
25.08.2020,17.13,85.21
24.08.2020,16.57,87.42
23.08.2020,16.26,82.04
22.08.2020,16.87,78.25
21.08.2020,18.01,76.79
20.08.2020,18.11,73.92
19.08.2020,18.77,92.12
18.08.2020,18.65,82.17
17.08.2020,17.78,88.0
16.08.2020,18.08,91.29
15.08.2020,16.75,95.29
14.08.2020,18.4,91.5
13.08.2020,20.91,84.92
12.08.2020,23.82,74.0
11.08.2020,19.89,87.29
10.08.2020,19.58,87.33
09.08.2020,18.41,81.71
08.08.2020,19.34,88.21
07.08.2020,19.03,86.08
06.08.2020,18.33,92.42
05.08.2020,18.38,85.25
04.08.2020,14.85,76.38
03.08.2020,14.8,72.92
02.08.2020,15.75,78.33
01.08.2020,16.79,80.62
31.07.2020,18.81,75.88
30.07.2020,18.19,70.33
29.07.2020,15.18,76.33
28.07.2020,15.25,73.75
27.07.2020,16.53,88.12
26.07.2020,16.59,82.71
25.07.2020,16.62,89.96
24.07.2020,16.99,91.29
23.07.2020,15.89,88.04
22.07.2020,15.75,75.21
21.07.2020,15.43,63.54
20.07.2020,14.77,61.71
19.07.2020,15.76,77.21
18.07.2020,15.9,86.92
17.07.2020,16.2,89.21
16.07.2020,16.87,86.04
15.07.2020,15.26,84.42
14.07.2020,15.39,81.62
13.07.2020,15.74,82.75
12.07.2020,15.43,64.5
11.07.2020,14.32,72.83
10.07.2020,13.97,68.04
09.07.2020,15.7,92.25
08.07.2020,15.33,97.29
07.07.2020,14.62,83.17
06.07.2020,14.54,73.88
05.07.2020,15.09,77.08
04.07.2020,15.79,94.96
03.07.2020,15.26,82.08
02.07.2020,14.82,85.92
01.07.2020,14.96,84.54
30.06.2020,14.41,87.08
29.06.2020,13.99,71.62
28.06.2020,14.14,77.33
27.06.2020,15.05,84.46
26.06.2020,16.58,85.21
25.06.2020,23.38,62.5
24.06.2020,22.02,62.5
23.06.2020,17.98,70.85
22.06.2020,16.23,69.62
21.06.2020,14.8,82.75
20.06.2020,15.71,80.92
19.06.2020,14.2,85.79
18.06.2020,14.37,96.96
17.06.2020,15.57,87.29
16.06.2020,16.23,82.58
15.06.2020,15.68,79.96
14.06.2020,15.98,79.33
13.06.2020,15.08,81.75
12.06.2020,15.3,82.29
11.06.2020,13.98,79.5
10.06.2020,12.76,82.79
09.06.2020,12.73,72.21
08.06.2020,13.36,76.21
07.06.2020,13.02,77.67
06.06.2020,10.18,79.83
05.06.2020,11.87,70.17
04.06.2020,11.81,77.38
03.06.2020,14.1,81.25
02.06.2020,18.67,56.08
01.06.2020,18.81,49.83
31.05.2020,19.23,45.5
30.05.2020,17.91,46.79
29.05.2020,17.88,49.38
28.05.2020,18.61,55.54
27.05.2020,18.15,64.42
26.05.2020,14.49,77.17
25.05.2020,13.78,68.79
24.05.2020,12.71,82.29
23.05.2020,12.69,77.21
22.05.2020,14.13,73.5
21.05.2020,15.59,71.5
20.05.2020,15.37,68.92
19.05.2020,12.81,86.54
18.05.2020,12.47,77.67
17.05.2020,11.66,82.5
16.05.2020,11.47,70.08
15.05.2020,10.56,61.96
14.05.2020,8.43,59.21
