Date,Temp,Humidity
19.11.2020,7.92,75.12
18.11.2020,10.81,84.67
17.11.2020,12.0,96.08
16.11.2020,10.72,86.42
15.11.2020,9.43,84.29
14.11.2020,11.02,91.88
13.11.2020,8.63,88.38
12.11.2020,9.92,87.08
11.11.2020,11.14,93.29
10.11.2020,10.64,94.12
09.11.2020,12.6,92.25
08.11.2020,12.05,91.92
07.11.2020,10.39,82.96
06.11.2020,7.66,69.38
05.11.2020,7.94,79.75
04.11.2020,8.63,84.08
03.11.2020,7.62,79.21
02.11.2020,10.7,79.04
01.11.2020,12.63,94.29
31.10.2020,11.37,89.12
30.10.2020,12.3,96.54
29.10.2020,12.24,93.08
28.10.2020,8.7,79.12
27.10.2020,9.59,86.75
26.10.2020,10.16,82.46
25.10.2020,8.08,87.88
24.10.2020,10.02,91.58
23.10.2020,8.06,83.38
22.10.2020,8.64,78.17
21.10.2020,12.32,93.71
20.10.2020,13.63,86.96
19.10.2020,11.2,81.96
18.10.2020,9.73,79.88
17.10.2020,9.75,77.58
16.10.2020,9.24,74.96
15.10.2020,8.9,79.79
14.10.2020,10.95,82.12
13.10.2020,10.32,83.75
12.10.2020,10.17,88.5
11.10.2020,10.55,88.12
10.10.2020,10.72,82.25
09.10.2020,10.22,75.12
08.10.2020,12.05,88.92
07.10.2020,11.85,84.67
06.10.2020,12.09,85.67
05.10.2020,12.03,91.33
04.10.2020,10.86,90.54
03.10.2020,11.3,89.62
02.10.2020,10.93,87.04
01.10.2020,9.9,81.17
30.09.2020,12.32,94.12
29.09.2020,12.1,85.04
28.09.2020,12.24,94.96
27.09.2020,11.0,74.33
26.09.2020,10.87,65.83
25.09.2020,10.87,73.83
24.09.2020,9.33,82.96
23.09.2020,10.69,91.0
22.09.2020,13.89,93.38
21.09.2020,14.93,82.21
20.09.2020,14.19,81.33
19.09.2020,14.57,79.12
18.09.2020,14.04,72.38
17.09.2020,15.92,73.54
16.09.2020,14.91,97.79
15.09.2020,17.24,80.71
14.09.2020,19.2,70.46
13.09.2020,16.37,84.46
12.09.2020,14.49,81.75
11.09.2020,14.1,79.96
10.09.2020,13.35,73.83
09.09.2020,14.65,84.88
08.09.2020,16.71,93.17
07.09.2020,13.99,94.75
06.09.2020,13.7,87.96
05.09.2020,13.32,81.42
04.09.2020,13.91,80.96
03.09.2020,15.55,88.17
02.09.2020,14.7,93.29
01.09.2020,13.75,77.88
31.08.2020,11.66,80.5
30.08.2020,12.94,70.04
29.08.2020,12.82,73.42
28.08.2020,13.43,88.96
27.08.2020,13.27,94.21
26.08.2020,14.3,86.46
25.08.2020,15.78,89.83
24.08.2020,14.79,93.25
23.08.2020,14.84,87.79
22.08.2020,15.41,84.71
21.08.2020,15.75,88.33
20.08.2020,16.5,83.12
19.08.2020,17.45,93.58
18.08.2020,17.45,88.92
17.08.2020,16.02,97.46
16.08.2020,17.02,96.21
15.08.2020,17.53,91.67
14.08.2020,18.74,90.54
13.08.2020,19.84,87.83
12.08.2020,17.3,95.46
11.08.2020,15.68,99.33
10.08.2020,15.99,98.04
09.08.2020,16.92,88.67
08.08.2020,15.97,94.12
07.08.2020,17.98,93.5
06.08.2020,16.73,92.25
05.08.2020,16.57,93.17
04.08.2020,14.17,93.75
03.08.2020,13.4,84.21
02.08.2020,14.03,85.96
01.08.2020,14.61,88.38
31.07.2020,19.23,70.46
30.07.2020,18.14,72.5
29.07.2020,14.23,83.88
28.07.2020,14.02,77.42
27.07.2020,15.47,88.75
26.07.2020,15.31,83.67
25.07.2020,15.36,91.38
24.07.2020,15.87,91.33
23.07.2020,15.38,90.88
22.07.2020,14.52,81.58
21.07.2020,13.46,78.96
20.07.2020,13.6,75.21
19.07.2020,13.6,81.25
18.07.2020,14.18,95.96
17.07.2020,16.1,84.79
16.07.2020,16.05,87.96
15.07.2020,13.88,90.5
14.07.2020,12.88,90.96
13.07.2020,14.82,94.38
12.07.2020,13.74,70.04
11.07.2020,13.71,76.42
10.07.2020,12.71,81.54
09.07.2020,13.42,96.58
08.07.2020,13.85,99.79
07.07.2020,12.94,90.83
06.07.2020,13.34,80.42
05.07.2020,13.92,78.12
04.07.2020,14.97,96.17
03.07.2020,13.63,93.0
02.07.2020,13.1,91.58
01.07.2020,13.81,89.92
30.06.2020,13.42,89.83
29.06.2020,12.45,80.42
28.06.2020,13.25,78.75
27.06.2020,13.73,90.79
26.06.2020,15.68,87.96
25.06.2020,21.0,70.38
24.06.2020,16.95,78.04
23.06.2020,16.8,81.25
22.06.2020,13.68,87.92
21.06.2020,13.63,82.71
20.06.2020,14.17,79.79
19.06.2020,12.6,88.58
18.06.2020,12.87,100.0
17.06.2020,12.92,99.21
16.06.2020,13.72,92.62
15.06.2020,13.54,86.58
14.06.2020,14.14,88.21
13.06.2020,16.01,79.71
12.06.2020,14.47,84.79
11.06.2020,12.79,83.75
10.06.2020,11.55,92.33
09.06.2020,11.1,85.88
08.06.2020,11.18,80.04
07.06.2020,11.1,87.21
06.06.2020,9.34,88.46
05.06.2020,10.47,73.62
04.06.2020,10.98,86.88
03.06.2020,12.24,90.5
02.06.2020,16.38,64.08
01.06.2020,16.18,59.62
31.05.2020,19.88,43.08
30.05.2020,18.22,45.5
29.05.2020,18.3,48.46
28.05.2020,17.51,63.67
27.05.2020,14.7,76.25
26.05.2020,12.46,90.71
25.05.2020,12.19,74.17
24.05.2020,12.28,76.08
23.05.2020,11.66,77.58
22.05.2020,12.64,76.79
21.05.2020,14.3,77.46
20.05.2020,14.77,68.71
19.05.2020,12.86,83.96
18.05.2020,12.06,83.75
17.05.2020,11.14,83.08
16.05.2020,10.07,81.67
15.05.2020,9.69,69.54
14.05.2020,7.86,61.75
