Date,Temp,Humidity
19.11.2020,8.2,73.88
18.11.2020,10.68,86.54
17.11.2020,12.08,98.17
16.11.2020,10.81,88.62
15.11.2020,9.99,85.92
14.11.2020,11.27,91.67
13.11.2020,10.16,80.12
12.11.2020,10.59,85.58
11.11.2020,11.71,92.58
10.11.2020,11.33,92.29
09.11.2020,12.25,92.29
08.11.2020,12.11,91.83
07.11.2020,10.92,77.75
06.11.2020,9.55,69.96
05.11.2020,8.6,78.46
04.11.2020,9.04,80.42
03.11.2020,8.58,72.0
02.11.2020,10.27,82.21
01.11.2020,12.32,92.83
31.10.2020,11.91,85.08
30.10.2020,11.74,93.67
29.10.2020,12.32,94.5
28.10.2020,10.13,73.92
27.10.2020,10.57,82.79
26.10.2020,10.61,79.79
25.10.2020,10.7,75.17
24.10.2020,11.05,86.62
23.10.2020,10.62,75.71
22.10.2020,9.6,73.71
21.10.2020,11.97,91.83
20.10.2020,13.6,89.04
19.10.2020,12.16,81.96
18.10.2020,10.6,86.25
17.10.2020,9.93,79.54
16.10.2020,9.87,78.08
15.10.2020,9.64,80.04
14.10.2020,10.89,85.12
13.10.2020,10.35,84.58
12.10.2020,11.21,85.46
11.10.2020,10.97,83.92
10.10.2020,10.8,82.46
09.10.2020,10.06,76.04
08.10.2020,12.0,85.19
07.10.2020,11.69,84.08
06.10.2020,12.47,82.17
05.10.2020,12.43,88.83
04.10.2020,11.13,91.12
03.10.2020,11.0,90.42
02.10.2020,10.6,86.54
01.10.2020,10.31,77.42
30.09.2020,12.53,92.08
29.09.2020,12.56,82.0
28.09.2020,13.39,95.5
27.09.2020,11.37,75.75
26.09.2020,10.74,64.79
25.09.2020,10.98,70.25
24.09.2020,10.13,81.29
23.09.2020,11.42,82.62
22.09.2020,14.22,95.0
21.09.2020,15.16,89.29
20.09.2020,13.76,76.79
19.09.2020,14.3,75.83
18.09.2020,14.16,73.71
17.09.2020,15.55,82.54
16.09.2020,16.03,94.75
15.09.2020,17.32,82.67
14.09.2020,17.93,79.25
13.09.2020,15.35,93.92
12.09.2020,14.12,84.54
11.09.2020,14.22,86.0
10.09.2020,13.6,72.79
09.09.2020,14.6,84.62
08.09.2020,15.22,99.38
07.09.2020,14.6,95.58
06.09.2020,14.2,88.42
05.09.2020,13.32,81.79
04.09.2020,14.02,81.58
03.09.2020,15.34,91.38
02.09.2020,14.9,96.38
01.09.2020,14.88,82.5
31.08.2020,13.22,78.88
30.08.2020,12.75,74.04
29.08.2020,12.43,74.25
28.08.2020,13.09,88.79
27.08.2020,13.64,94.96
26.08.2020,15.05,85.96
25.08.2020,15.09,93.67
24.08.2020,14.64,87.46
23.08.2020,15.1,89.79
22.08.2020,15.17,90.67
21.08.2020,15.78,89.88
20.08.2020,16.49,85.12
19.08.2020,16.99,94.12
18.08.2020,16.18,97.04
17.08.2020,15.87,99.5
16.08.2020,16.91,95.21
15.08.2020,17.93,89.5
