Date,Temp,Humidity
19.11.2020,8.77,71.38
18.11.2020,11.96,81.0
17.11.2020,12.28,93.67
16.11.2020,11.45,83.88
15.11.2020,10.8,79.58
14.11.2020,12.45,89.0
13.11.2020,10.97,80.83
12.11.2020,11.25,82.5
11.11.2020,12.6,83.79
10.11.2020,12.14,90.54
09.11.2020,12.74,94.5
08.11.2020,12.15,94.83
07.11.2020,11.36,86.17
06.11.2020,9.61,72.58
05.11.2020,8.44,79.71
04.11.2020,7.75,79.26
03.11.2020,7.96,77.54
02.11.2020,11.71,79.21
01.11.2020,13.78,91.29
31.10.2020,13.07,78.88
30.10.2020,13.31,97.04
29.10.2020,13.12,91.21
28.10.2020,10.59,77.08
27.10.2020,11.82,81.12
26.10.2020,10.94,80.04
25.10.2020,10.76,80.46
24.10.2020,12.1,86.5
23.10.2020,11.5,78.46
22.10.2020,10.72,77.58
21.10.2020,13.14,95.62
20.10.2020,14.76,84.38
19.10.2020,12.33,82.52
18.10.2020,10.97,79.54
17.10.2020,11.01,76.29
16.10.2020,10.18,73.33
15.10.2020,10.14,71.46
14.10.2020,12.0,72.62
13.10.2020,10.21,80.71
12.10.2020,10.71,88.83
11.10.2020,11.39,79.62
10.10.2020,10.66,80.75
09.10.2020,10.95,76.62
08.10.2020,13.42,85.83
07.10.2020,12.37,85.42
06.10.2020,12.72,84.54
05.10.2020,12.25,88.92
04.10.2020,10.55,87.0
03.10.2020,11.7,84.83
02.10.2020,11.55,81.29
01.10.2020,11.15,80.75
30.09.2020,13.73,86.92
29.09.2020,14.15,78.21
28.09.2020,12.72,90.08
27.09.2020,11.53,71.5
26.09.2020,10.38,65.33
25.09.2020,10.28,74.38
24.09.2020,11.17,76.92
23.09.2020,13.35,85.42
22.09.2020,15.85,90.54
21.09.2020,16.65,80.67
20.09.2020,17.12,69.42
19.09.2020,17.01,66.96
18.09.2020,16.12,64.62
17.09.2020,17.17,69.42
16.09.2020,16.45,91.46
15.09.2020,18.37,78.71
14.09.2020,18.84,73.04
13.09.2020,17.05,84.5
12.09.2020,16.04,78.92
11.09.2020,15.37,72.38
10.09.2020,14.37,70.96
09.09.2020,15.87,81.5
08.09.2020,16.0,95.88
07.09.2020,15.0,88.79
06.09.2020,15.0,80.46
05.09.2020,14.0,76.54
04.09.2020,14.73,77.62
03.09.2020,16.31,88.54
02.09.2020,16.28,80.21
01.09.2020,15.44,73.79
31.08.2020,14.53,68.62
30.08.2020,13.88,61.5
29.08.2020,13.06,66.67
28.08.2020,14.65,79.0
27.08.2020,15.33,85.25
26.08.2020,15.96,79.17
25.08.2020,16.88,87.46
24.08.2020,16.36,89.04
23.08.2020,16.17,81.96
22.08.2020,16.6,81.92
21.08.2020,17.68,83.79
20.08.2020,18.43,74.38
19.08.2020,18.63,91.25
18.08.2020,18.42,90.79
17.08.2020,17.66,90.75
16.08.2020,18.28,90.58
15.08.2020,17.35,94.83
14.08.2020,18.55,92.62
13.08.2020,20.25,89.33
12.08.2020,23.0,78.92
11.08.2020,19.8,88.71
10.08.2020,19.25,86.5
09.08.2020,18.86,81.92
08.08.2020,19.56,85.5
07.08.2020,19.26,86.67
06.08.2020,17.64,91.88
05.08.2020,17.3,91.42
04.08.2020,15.12,84.58
03.08.2020,15.18,70.96
02.08.2020,15.69,78.5
01.08.2020,16.49,81.58
31.07.2020,18.68,78.75
30.07.2020,18.24,73.08
29.07.2020,15.67,79.38
28.07.2020,15.08,72.83
27.07.2020,16.39,87.42
26.07.2020,15.97,88.38
25.07.2020,16.25,91.62
24.07.2020,16.39,94.88
23.07.2020,15.98,89.0
22.07.2020,15.65,78.04
21.07.2020,15.56,67.21
20.07.2020,15.12,58.83
19.07.2020,15.91,69.75
18.07.2020,15.51,91.33
17.07.2020,16.08,90.58
16.07.2020,16.69,85.04
15.07.2020,15.44,82.79
14.07.2020,14.75,83.91
13.07.2020,15.38,91.54
12.07.2020,15.7,67.12
11.07.2020,15.0,72.12
10.07.2020,13.87,69.33
09.07.2020,15.17,91.29
08.07.2020,14.93,97.08
07.07.2020,14.4,86.78
06.07.2020,14.68,70.12
05.07.2020,14.75,78.46
04.07.2020,15.06,97.88
03.07.2020,14.55,88.71
02.07.2020,14.91,85.17
01.07.2020,14.67,86.08
30.06.2020,13.98,88.58
29.06.2020,14.07,71.04
28.06.2020,14.17,77.62
27.06.2020,14.81,86.96
26.06.2020,15.61,88.12
25.06.2020,21.78,66.92
24.06.2020,21.57,61.58
23.06.2020,17.65,74.54
22.06.2020,15.54,79.17
21.06.2020,14.74,85.83
20.06.2020,15.47,78.58
19.06.2020,14.02,88.5
18.06.2020,14.42,95.33
17.06.2020,15.44,91.21
16.06.2020,16.29,84.54
15.06.2020,15.33,82.42
14.06.2020,15.8,82.33
13.06.2020,15.39,80.29
12.06.2020,15.55,78.88
